Entry,Method,PDB_ID,Residues_Covered,Chain
P31937,X-ray diffraction,2GF2,41-335,"A, B, C, D"
P31937,X-ray diffraction,2I9P,40-336,"A, B, C, D"
P61981,X-ray diffraction,2B05,2-247,"A, B, C, D, E, F"
P61981,X-ray diffraction,3UZD,1-247,A
P61981,X-ray diffraction,4E2E,1-247,A
P61981,X-ray diffraction,4J6S,2-247,"A, B, C, D"
P61981,X-ray diffraction,4O46,1-247,"A, B, C, D, E, F"
P61981,X-ray diffraction,5D3E,1-238,"A, B, E, F, I, J"
P61981,X-ray diffraction,6A5S,1-247,"A, B, D, G"
P61981,X-ray diffraction,6BYJ,2-241,"A, B, C, D, E, F"
P61981,X-ray diffraction,6BYL,2-241,"A, B, C, D, E, F"
P61981,X-ray diffraction,6BZD,2-247,"A, B, C, D"
P61981,X-ray diffraction,6FEL,1-234,"A, B, C, D"
P61981,X-ray diffraction,6GKF,1-234,"A, B, C, D, E, F, G, H"
P61981,X-ray diffraction,6GKG,1-234,"A, B, C, D, E, F, G, H"
P61981,X-ray diffraction,6S9K,1-234,A
P61981,X-ray diffraction,6SAD,1-234,"A, B"
P00325,X-ray diffraction,1DEH,2-375,"A, B"
P00325,X-ray diffraction,1HDX,2-375,"A, B"
P00325,X-ray diffraction,1HDY,2-375,"A, B"
P00325,X-ray diffraction,1HDZ,2-375,"A, B"
P00325,X-ray diffraction,1HSZ,2-375,"A, B"
P00325,X-ray diffraction,1HTB,2-375,"A, B"
P00325,X-ray diffraction,1U3U,2-375,"A, B"
P00325,X-ray diffraction,1U3V,2-375,"A, B"
P00325,X-ray diffraction,3HUD,2-375,"A, B"
P29274,X-ray diffraction,2YDO,1-317,A
P29274,X-ray diffraction,2YDV,1-317,A
P29274,X-ray diffraction,3EML,2-208;222-316,A
P29274,X-ray diffraction,3PWH,1-317,A
P29274,X-ray diffraction,3QAK,2-208;222-316,A
P29274,X-ray diffraction,3REY,1-317,A
P29274,X-ray diffraction,3RFM,1-317,A
P29274,X-ray diffraction,3UZA,1-317,A
P29274,X-ray diffraction,3UZC,1-317,A
P29274,X-ray diffraction,3VG9,1-316,A
P29274,X-ray diffraction,3VGA,1-316,A
P29274,X-ray diffraction,4EIY,2-208;219-316,A
P29274,X-ray diffraction,4UG2,1-317,"A, B"
P29274,X-ray diffraction,4UHR,1-317,A
P29274,X-ray diffraction,5G53,1-308,"A, B"
P29274,X-ray diffraction,5IU4,2-208;219-318,A
P29274,X-ray diffraction,5IU7,2-208;219-315,A
P29274,X-ray diffraction,5IU8,2-208;219-315,A
P29274,X-ray diffraction,5IUA,2-208;219-315,A
P29274,X-ray diffraction,5IUB,2-208;219-315,A
P29274,X-ray diffraction,5JTB,2-208;219-316,A
P29274,X-ray diffraction,5K2A,2-208;219-316,A
P29274,X-ray diffraction,5K2B,2-208;219-316,A
P29274,X-ray diffraction,5K2C,2-208;219-316,A
P29274,X-ray diffraction,5K2D,2-208;219-316,A
P29274,X-ray diffraction,5MZJ,2-208;219-318,A
P29274,X-ray diffraction,5MZP,2-208;219-317,A
P29274,X-ray diffraction,5N2R,2-208;219-318,A
P29274,X-ray diffraction,5NLX,2-208;219-317,A
P29274,X-ray diffraction,5NM2,2-208;219-317,A
