P24864	377	410	Tail_w_PDB	N_Terminal_Status:0	C_Terminal_Status:1	Non_Tail_Status:0	FD_IDR_terminal_dist:-1	Start_Coverage_FD:96	End_Coverage_FD:378	IDR_Length:33	FD_Length:282
P46100	1	160	Tail_w_PDB	N_Terminal_Status:1	C_Terminal_Status:0	Non_Tail_Status:0	FD_IDR_terminal_dist:-1	Start_Coverage_FD:159	End_Coverage_FD:296	IDR_Length:159	FD_Length:137
P55345	1	26	Tail_w_PDB	N_Terminal_Status:1	C_Terminal_Status:0	Non_Tail_Status:0	FD_IDR_terminal_dist:7	Start_Coverage_FD:33	End_Coverage_FD:87	IDR_Length:25	FD_Length:54
Q9UHB7	1	908	Tail_w_PDB	N_Terminal_Status:1	C_Terminal_Status:0	Non_Tail_Status:0	FD_IDR_terminal_dist:-9	Start_Coverage_FD:899	End_Coverage_FD:1163	IDR_Length:907	FD_Length:264
P27540	463	789	Tail_w_PDB	N_Terminal_Status:0	C_Terminal_Status:1	Non_Tail_Status:0	FD_IDR_terminal_dist:-7	Start_Coverage_FD:354	End_Coverage_FD:470	IDR_Length:326	FD_Length:116
Q8N157	1112	1196	Tail_w_PDB	N_Terminal_Status:0	C_Terminal_Status:1	Non_Tail_Status:0	FD_IDR_terminal_dist:-4	Start_Coverage_FD:1048	End_Coverage_FD:1116	IDR_Length:84	FD_Length:68
P35414	328	380	Tail_w_PDB	N_Terminal_Status:0	C_Terminal_Status:1	Non_Tail_Status:0	FD_IDR_terminal_dist:-2	Start_Coverage_FD:243	End_Coverage_FD:330	IDR_Length:52	FD_Length:87
P11021	631	654	Tail_w_PDB	N_Terminal_Status:0	C_Terminal_Status:1	Non_Tail_Status:0	FD_IDR_terminal_dist:-6	Start_Coverage_FD:418	End_Coverage_FD:637	IDR_Length:23	FD_Length:219
Q9H4Z3	1	36	Tail_w_PDB	N_Terminal_Status:1	C_Terminal_Status:0	Non_Tail_Status:0	FD_IDR_terminal_dist:4	Start_Coverage_FD:40	End_Coverage_FD:86	IDR_Length:35	FD_Length:46
Q8IW19	441	511	Tail_w_PDB	N_Terminal_Status:0	C_Terminal_Status:1	Non_Tail_Status:0	FD_IDR_terminal_dist:-10	Start_Coverage_FD:360	End_Coverage_FD:451	IDR_Length:70	FD_Length:91
P55196	1101	1824	Tail_w_PDB	N_Terminal_Status:0	C_Terminal_Status:1	Non_Tail_Status:0	FD_IDR_terminal_dist:5	Start_Coverage_FD:1001	End_Coverage_FD:1096	IDR_Length:723	FD_Length:95
Q9UBW5	251	565	Tail_w_PDB	N_Terminal_Status:0	C_Terminal_Status:1	Non_Tail_Status:0	FD_IDR_terminal_dist:6	Start_Coverage_FD:11	End_Coverage_FD:245	IDR_Length:314	FD_Length:234
Q13542	1	24	Tail_w_PDB	N_Terminal_Status:1	C_Terminal_Status:0	Non_Tail_Status:0	FD_IDR_terminal_dist:-6	Start_Coverage_FD:18	End_Coverage_FD:65	IDR_Length:23	FD_Length:47
Q13542	61	120	Tail_w_PDB	N_Terminal_Status:0	C_Terminal_Status:1	Non_Tail_Status:0	FD_IDR_terminal_dist:-4	Start_Coverage_FD:18	End_Coverage_FD:65	IDR_Length:59	FD_Length:47
Q00536	473	496	Tail_w_PDB	N_Terminal_Status:0	C_Terminal_Status:1	Non_Tail_Status:0	FD_IDR_terminal_dist:-5	Start_Coverage_FD:163	End_Coverage_FD:478	IDR_Length:23	FD_Length:315
P45973	1	22	Tail_w_PDB	N_Terminal_Status:1	C_Terminal_Status:0	Non_Tail_Status:0	FD_IDR_terminal_dist:-4	Start_Coverage_FD:18	End_Coverage_FD:75	IDR_Length:21	FD_Length:57
P09543	400	421	Tail_w_PDB	N_Terminal_Status:0	C_Terminal_Status:1	Non_Tail_Status:0	FD_IDR_terminal_dist:1	Start_Coverage_FD:186	End_Coverage_FD:399	IDR_Length:21	FD_Length:213
Q8NFD5	1	1048	Tail_w_PDB	N_Terminal_Status:1	C_Terminal_Status:0	Non_Tail_Status:0	FD_IDR_terminal_dist:-10	Start_Coverage_FD:1038	End_Coverage_FD:1159	IDR_Length:1047	FD_Length:121
Q9H3F6	1	33	Tail_w_PDB	N_Terminal_Status:1	C_Terminal_Status:0	Non_Tail_Status:0	FD_IDR_terminal_dist:-7	Start_Coverage_FD:26	End_Coverage_FD:135	IDR_Length:32	FD_Length:109
P62258	234	255	Tail_w_PDB	N_Terminal_Status:0	C_Terminal_Status:1	Non_Tail_Status:0	FD_IDR_terminal_dist:0	Start_Coverage_FD:1	End_Coverage_FD:234	IDR_Length:21	FD_Length:233
P51686	1	23	Tail_w_PDB	N_Terminal_Status:1	C_Terminal_Status:0	Non_Tail_Status:0	FD_IDR_terminal_dist:0	Start_Coverage_FD:23	End_Coverage_FD:341	IDR_Length:22	FD_Length:318
Q13185	1	30	Tail_w_PDB	N_Terminal_Status:1	C_Terminal_Status:0	Non_Tail_Status:0	FD_IDR_terminal_dist:-1	Start_Coverage_FD:29	End_Coverage_FD:86	IDR_Length:29	FD_Length:57
P11171	1	204	Tail_w_PDB	N_Terminal_Status:1	C_Terminal_Status:0	Non_Tail_Status:0	FD_IDR_terminal_dist:6	Start_Coverage_FD:210	End_Coverage_FD:488	IDR_Length:203	FD_Length:278
P30556	321	359	Tail_w_PDB	N_Terminal_Status:0	C_Terminal_Status:1	Non_Tail_Status:0	FD_IDR_terminal_dist:2	Start_Coverage_FD:2	End_Coverage_FD:319	IDR_Length:38	FD_Length:317
P55789	1	72	Tail_w_PDB	N_Terminal_Status:1	C_Terminal_Status:0	Non_Tail_Status:0	FD_IDR_terminal_dist:9	Start_Coverage_FD:81	End_Coverage_FD:205	IDR_Length:71	FD_Length:124
P35226	229	326	Tail_w_PDB	N_Terminal_Status:0	C_Terminal_Status:1	Non_Tail_Status:0	FD_IDR_terminal_dist:-6	Start_Coverage_FD:121	End_Coverage_FD:235	IDR_Length:97	FD_Length:114
