cat	dist	mean_occ	focc
negative	-1001	0.7527557418371235	NA
negative	-1000	0.7670807711105289	NA
negative	-999	0.6683688751232385	NA
negative	-998	0.6602934980953596	NA
negative	-997	0.715184298241608	NA
negative	-996	0.6869749353127614	NA
negative	-995	0.7690412246136128	NA
negative	-994	0.7785276035200039	NA
negative	-993	0.7493871398140173	NA
negative	-992	0.7231618910678207	NA
negative	-991	0.6877282792261734	NA
negative	-990	0.701907080706152	NA
negative	-989	0.7245053775117257	NA
negative	-988	0.7387794929345324	NA
negative	-987	0.7382377667516865	NA
negative	-986	0.7954973357188401	NA
negative	-985	0.7962021757973063	NA
negative	-984	0.7599215978087681	NA
negative	-983	0.7037013130031334	NA
negative	-982	0.7144782077567426	NA
negative	-981	0.8393437607320052	NA
negative	-980	0.7463117776478065	NA
negative	-979	0.7796732455788045	NA
negative	-978	0.7673883918383388	NA
negative	-977	0.7407323838747255	0.7263696331006619
negative	-976	0.7599417329836794	0.7267927701471851
negative	-975	0.6981149374074691	0.7271387239210532
negative	-974	0.6935420738410039	0.7292680757404041
negative	-973	0.7489974664045637	0.731762929057628
negative	-972	0.7289919777542366	0.7332513288981916
negative	-971	0.7332655026798954	0.7336505566816989
negative	-970	0.7301240402041533	0.7312071483718487
negative	-969	0.7047156413633218	0.7309815920265996
negative	-968	0.7306642298449387	0.7322356520229921
negative	-967	0.7052744845173596	0.7340367913596918
negative	-966	0.6936467095392906	0.7369842519178378
negative	-965	0.7143322059473216	0.7375306471443386
negative	-964	0.753584953250829	0.7373209673773041
negative	-963	0.7039540922552654	0.736669228063533
negative	-962	0.6141259342260913	0.7364564012012502
negative	-961	0.7056994894086069	0.7364243047736239
negative	-960	0.7010230765966755	0.7361549269487948
negative	-959	0.7640149510258352	0.7367146528507311
negative	-958	0.7718333116014745	0.7371732674150031
negative	-957	0.7301978755923251	0.7371385266113212
negative	-956	0.6508332951157506	0.7353240464022949
negative	-955	0.6210245802526662	0.7343941728633153
negative	-954	0.6951226590402793	0.7320514892082152
negative	-953	0.7544668830435383	0.7306102141870862
negative	-952	0.7058053855136955	0.7313528839881128
negative	-951	0.7739125941632754	0.7312631879477125
negative	-950	0.7843784598039331	0.7311855489336753
negative	-949	0.7748364660907813	0.7316218021513223
negative	-948	0.785036163956551	0.7309937903535745
negative	-947	0.789604290269796	0.7305435685186495
negative	-946	0.7069363244881227	0.729177935089554
negative	-945	0.6468708091211082	0.7284783315587883
negative	-944	0.7672497862575426	0.7288601648615503
negative	-943	0.8120901396336451	0.7289893435708208
negative	-942	0.8132188579028039	0.7296048933331916
negative	-941	0.8351013071334686	0.7304910093931337
negative	-940	0.7292268420311885	0.7311385025135563
negative	-939	0.7140213891600019	0.7304519927357024
negative	-938	0.7061925272459735	0.7322231472231836
negative	-937	0.7275964236375496	0.7353502880678343
negative	-936	0.7938925143375246	0.7360612586969042
negative	-935	0.7827332845558556	0.7361585455191262
negative	-934	0.787907892905584	0.7349390018479351
negative	-933	0.726632041216739	0.7330360680158511
negative	-932	0.7127411675726418	0.7321524572675451
negative	-931	0.7486197502806883	0.733880734437572
negative	-930	0.6998181006988302	0.7358465834620713
negative	-929	0.6625390628237997	0.7369868718688535
negative	-928	0.6953246407818908	0.7375565320369059
negative	-927	0.7778658739260608	0.7383090822967955
