UniProt, domain_start, domain_end, S_over_T_mean, S_over_T_pval, quantile, refoldable, subcellular_localization, average_KD_hydro, A_SASA_count , C_SASA_count , D_SASA_count , E_SASA_count , F_SASA_count , G_SASA_count , H_SASA_count , I_SASA_count , K_SASA_count , L_SASA_count , M_SASA_count , N_SASA_count , P_SASA_count , Q_SASA_count , R_SASA_count , S_SASA_count , T_SASA_count , V_SASA_count , W_SASA_count , Y_SASA_count
O13297, 243, 541, 0.3893, 6.7e-05, 78, True, nucleus, 3.136, , 5.0, 0, 12.0, 9.0, 3.0, 7.0, 2.0, 9.0, 14.0, 4.0, 0, 12.0, 10.0, 8.0, 6.0, 18.0, 9.0, 4.0, 2.0, 1.0
O13329, 48, 414, 0.2327, 0.006358, 42, nan, nucleus; nucleolus, 2.524, , 5.0, 1.0, 12.0, 17.0, 2.0, 17.0, 2.0, 1.0, 28.0, 7.0, 2.0, 9.0, 5.0, 4.0, 18.0, 11.0, 11.0, 3.0, 0, 6.0
O13516, 23, 174, 0.2212, 4e-05, 30, nan, nucleus; nucleolus; cytoplasm, 2.659, , 5.0, 0, 8.0, 5.0, 3.0, 9.0, 3.0, 1.0, 14.0, 4.0, 0, 2.0, 4.0, 3.0, 13.0, 5.0, 3.0, 2.0, 0, 3.0
O13535, 184, 388, 0.0945, 0.000818, 6, nan, nucleus; cytoplasm, 2.952, , 5.0, 0, 8.0, 5.0, 2.0, 10.0, 3.0, 1.0, 9.0, 2.0, 1.0, 19.0, 6.0, 10.0, 2.0, 5.0, 15.0, 7.0, 0, 2.0
O13535, 490, 958, 0.0945, 0.000818, 6, nan, nucleus; cytoplasm, 2.9, , 12.0, 1.0, 14.0, 8.0, 2.0, 18.0, 9.0, 7.0, 22.0, 5.0, 0, 24.0, 13.0, 9.0, 17.0, 28.0, 17.0, 6.0, 0, 4.0
O13535, 1252, 1788, 0.0945, 0.000818, 6, nan, nucleus; cytoplasm, 2.548, , 2.0, 1.0, 22.0, 20.0, 1.0, 23.0, 7.0, 10.0, 32.0, 6.0, 2.0, 16.0, 13.0, 11.0, 11.0, 11.0, 14.0, 1.0, 0, 9.0
O13539, 9, 117, 0.2831, 0.002215, 54, nan, nucleus, 3.495, , 4.0, 1.0, 7.0, 9.0, 2.0, 2.0, 2.0, 3.0, 5.0, 12.0, 0, 4.0, 3.0, 6.0, 7.0, 6.0, 6.0, 2.0, 0, 4.0
O13563, 8, 128, 0.2784, 0.00011, 54, True, nucleus; cytoplasm, 2.909, , 1.0, 1.0, 2.0, 13.0, 0, 7.0, 0, 2.0, 9.0, 5.0, 1.0, 6.0, 6.0, 1.0, 5.0, 7.0, 2.0, 2.0, 0, 0
O13565, 89, 183, 1.461, 0.51385, 90, nan, , 4.149, , 3.0, 3.0, 3.0, 4.0, 4.0, 5.0, 3.0, 5.0, 4.0, 5.0, 0, 4.0, 5.0, 0, 5.0, 11.0, 2.0, 4.0, 1.0, 0
O13585, 27, 183, 0.3256, 0.000333, 66, False, golgi apparatus, 2.266, , 2.0, 1.0, 11.0, 9.0, 2.0, 4.0, 0, 0, 6.0, 3.0, 0, 7.0, 4.0, 4.0, 5.0, 4.0, 2.0, 0, 0, 1.0
