Protein, Rep1_Rg, Rep2_Rg, Rep3_Rg, Rep4_Rg, Rep5_Rg, Average_Rg, Stdev_Rg, 
A1_LCD_10R,27.26819933,27.15122337,27.33732852,27.26993148,27.26793469,27.25892348,0.067147383, 
A1_LCD_10R_plus_10K,27.57929588,27.5235252,27.627771,27.57689995,27.53935831,27.56937007,0.04052267, 
A1_LCD_12F_plus_12Y,27.6543956,27.41959853,27.43682654,27.68744248,27.62145342,27.56394332,0.126229118, 
A1_LCD_12F_plus_12Y10R,27.25372308,27.32759911,27.52200366,27.32555755,27.33465365,27.35270741,0.100190566, 
A1_LCD_3R_plus_3K,27.44821058,27.5225044,27.50568843,27.32179414,27.52535494,27.4647105,0.085723988, 
A1_LCD_4D,27.29096963,27.1837275,27.13729528,27.34119926,27.3439877,27.25943587,0.094178982, 
A1_LCD_6R,26.85509368,26.755386,27.05760516,26.76544978,26.94733885,26.87617469,0.127745523, 
A1_LCD_6R_plus_6K,27.62569491,27.39722058,27.59063537,27.66230952,27.34980179,27.52513243,0.141706808, 
A1_LCD_8F_plus_4Y,28.46727867,28.47906193,28.58455439,28.46651989,28.52815965,28.50511491,0.051092087, 
A1_LCD_9F_plus_3Y,28.80679599,28.8685221,28.93179763,28.90017387,29.00118291,28.9016945,0.07230593, 
A1_LCD_9F_plus_6Y,28.23292915,28.2933468,28.27528788,28.21887145,28.20091606,28.24427027,0.038806914, 
A1_LCD_aro_,29.55218136,29.6948253,29.63639606,29.63508197,29.42529645,29.58875623,0.104550341, 
A1_LCD_aro__,32.26948956,31.95567847,32.12525062,31.94583492,32.22724149,32.10469901,0.150033226, 
A1_LCD_aro_plus_,25.86582201,25.83896891,25.7670126,25.75563307,25.76264644,25.79801661,0.050703368, 
A1_LCD_NLS,27.37782589,27.39087822,27.46044451,27.51394398,27.47141754,27.44290203,0.057247736, 
A1_LCD_plus_12D,27.77702591,27.64042264,27.76127044,27.92016254,27.84556741,27.78888979,0.104152486, 
A1_LCD_plus_12E,27.59194242,27.56194465,27.61561692,27.32352091,27.36188561,27.4909821,0.137360531, 
A1_LCD_plus_2R,27.21164837,27.14440841,27.12772493,27.16572626,27.34855947,27.19961349,0.089013556, 
A1_LCD_plus_4D,27.2786371,27.19175246,27.19887805,27.27974063,27.05962814,27.20172727,0.089862374, 
A1_LCD_plus_7F_7Y,27.36257392,27.35867731,27.54408236,27.41984596,27.54425434,27.44588678,0.092928999, 
A1_LCD_plus_7K_plus_12Dblocky,26.16841738,26.32238247,26.33097581,26.41021209,26.40272722,26.32694299,0.097268215, 
A1_LCD_plus_7R,27.6765622,27.3491443,27.63622336,27.64112372,27.44329362,27.54926944,0.144466765, 
A1_LCD_plus_7R_plus_10D,27.0739163,27.20693195,26.9527202,27.21565104,27.22052669,27.13394924,0.118263725, 
A1_LCD_plus_8D,27.55488871,27.81163039,27.51011212,27.49704219,27.49399285,27.57353325,0.135312292, 
A1_LCD_plus_NLS,27.12485233,26.82256962,26.99287428,27.07308756,26.661281,26.93493296,0.191065544, 
A1_LCD10F_plus_7R_plus_12D,29.30305508,29.12817638,29.18160426,29.11970456,29.18852885,29.18421383,0.073229628, 
alpha_syn,26.08647671,25.88254262,25.70016653,25.98496808,25.92246033,25.91532285,0.142795157, 
Ash1,28.69036732,28.78315762,28.73675877,28.649969,28.65461183,28.70297291,0.056741036, 
chloroplastic_calvin_cycle_protein,26.80280544,26.74985446,26.54166869,26.78803176,26.64655392,26.70578285,0.110184047, 
CortactinCR,30.23362048,30.21815143,30.41021804,30.49263943,30.28574317,30.32807451,0.118980839, 
CSD1,29.59103631,29.76228421,29.4681535,29.73576194,29.77913708,29.66727461,0.133876853, 
CTCF_R_WT,28.66122033,28.53612271,28.68551764,28.6097566,28.64996397,28.62851625,0.05845342, 
DARPP_32,25.31232688,25.29192456,25.12733743,25.28653345,25.16388952,25.23640237,0.084429917, 
ERalpha_NTD,25.65957402,25.69182749,25.66040534,25.65353673,25.59530195,25.65212911,0.035111221, 
Fez1,37.87150731,37.97393105,37.90765894,37.61881365,37.82711964,37.83980612,0.134719233, 
Fhua,25.69016506,25.8010178,25.77413136,25.56307932,25.77347573,25.72037386,0.097297569, 
GRB14_PIR,25.00121959,25.0700617,25.03864559,24.91496534,24.89056065,24.98309057,0.077752542, 
H1_CTD,36.28779358,36.19494577,36.14829911,36.04772334,36.21323485,36.17839933,0.088651902, 
Heh2_NLS,18.96768917,18.88229308,19.08209358,19.04092469,18.95324708,18.98524952,0.078120175, 
Histatin,13.7673671,13.73948913,13.76237627,13.75855695,13.71352984,13.74826386,0.022099147, 
HIV_TAT,26.773942,26.88697689,26.8086942,26.77776662,26.81617865,26.81271167,0.045463521, 
HMPV,20.00501691,20.0450417,20.14409214,20.0419108,19.98266427,20.04374516,0.061857326, 
hNHE1cdt,26.80058081,26.63001605,26.62187224,26.71618776,26.67866151,26.68946367,0.072939196, 
HrpO,28.51709844,28.51635505,28.28334405,28.47786665,28.5158817,28.46210918,0.101320267, 
IBB,26.3412024,26.38087424,26.47579143,26.3439961,26.40422239,26.38921731,0.055091352, 
II_1,25.83359006,25.81213105,25.81371021,25.81767474,25.93882741,25.84318669,0.05413737, 
Ki_1_57,28.26648885,28.27447885,28.23896845,28.26142207,28.27501132,28.26327391,0.014729545, 
LOX_PP,26.00535553,26.02804236,25.96321738,26.07152117,25.85306232,25.98423975,0.08311445, 
LS,20.36825958,20.46432256,20.3717913,20.52021456,20.46595843,20.43810929,0.066107949, 
Msh6,33.72175491,33.84399066,33.87600756,33.90259662,33.83079527,33.835029,0.069234892, 
N98,29.74550032,29.50964368,29.60439291,29.72455481,29.58850818,29.63451998,0.09879489, 
Neuroligin_3,24.64999002,24.64513937,24.81788422,24.48666923,24.56285549,24.63250767,0.123440202, 
Nsp1,33.58826522,33.4045964,33.33520973,33.49703767,33.63896616,33.49281504,0.125609192, 
NTail,28.0926367,27.84763022,28.01877742,27.84497692,27.86095787,27.93299583,0.115182218, 
Nup153_NUL,27.44232908,27.14015928,27.12852217,27.31684278,27.33154046,27.27187876,0.134662286, 
Nup153_NUS,23.64420133,23.63557387,23.48709403,23.70788611,23.49666813,23.59428469,0.097622462, 
