a1_lcd, 27.26, 0.16
sfafp, 23.62, 0.07
alpha_syn, 36.83, 0.09 
cgas_ntd, 39.75, 0.73 
a1_lcd_wt_martin_2020, 27.19, 0.15
a1_lcd_aro_minus_martin_2020, 28.85, 0.13
a1_lcd_aro_minus_minus_martin_2020, 30.10, 0.08
a1_lcd_aro_plus_martin_2020, 24.34, 0.57
ash1, 28.96, 0.20
p53, 29.76, 0.05
prota, 39.41, 0.07
pol2_ctd, 26.04, 0.08
nup49, 16.65, 0.25
fhua, 33.37, 0.24
rnasea, 33.61, 0.06
anac046, 37.68, 0.04
dss1, 26.36, 0.04
ghr_icd, 59.59, 0.38
heh_nls, 24.25, 0.1225.14
hst5, 13.87, 0.10
ibb, 33.79, 0.15
nhE6cmdd, 33.93, 0.13
nup153_nul, 33.52, 0.002
pnt, 51.32, 0.14
rs, 13.63, 0.04
serf, 23.90, 0.12
sic1, 30.62, 0.15
hev_pnt3, 27.27, 0.05
hev_pnt3_YYY_AAA, 27.37, 0.07
hev_pnt3_200_314, 37.67, 0.08
nurs_red1, 25.14, 0.03
e1a_36_146, 37.12, 0
eif4f_p150, 51.98, 0.19
tir_ctd, 39.20, 0.12
tau_504_758, 49.25, 0.14
smad2_linker, 28.77, 0.07
syndecan3_ed, 66.16, 0
syndecan4_ed, 42.48, 0.10
n_fatz1, 36.45, 0.06
fatz1_delta91, 40.59, 0.04
ul11, 25.99, 0.31
gon7, 30.65, 0.04
bmal1_530_625, 29.37, 0.10
n_cornid, 48.61, 0.12
atcp12, 25.00, 0.17
trf2_ntd, 16.56, 0.16
mbp, 35.54, 0.03
ebna1_381_455, 29.84, 0.04
a1_lcd_plus7r_plus12d_minus10f, 28.60, 0.04
laf1_rgg_ysg2max, 31.48, 0.09
a1_lcd_plus7k_plus12d_blocky, 25.43, 0.14
nupr1, 24.27, 0.11 
ANAC013_161_274, 35.93, 0.1






