5000	5000	0:01:26.494000
10000	5000	0:01:26.105000
15000	5000	0:01:26.011000
20000	5000	0:01:23.445000
25000	5000	0:01:24.562000
30000	5000	0:01:23.061000
35000	5000	0:01:24.492000
40000	5000	0:01:24.525000
45000	5000	0:01:24.256000
50000	5000	0:01:23.922000
55000	5000	0:01:23.916000
60000	5000	0:01:24.359000
65000	5000	0:01:24.394000
70000	5000	0:01:24.380000
75000	5000	0:01:23.996000
80000	5000	0:01:24.109000
85000	5000	0:01:24.280000
90000	5000	0:01:23.148000
95000	5000	0:01:21.890000
100000	5000	0:01:24.607000
