chr	track	poi	end	ext_start	ext_end	value	origin
chrI	1	154	155	79	229	154	Henikoff-ChEC
chrI	2	238	239	163	313	238	Henikoff-ChEC
chrI	3	324	325	249	399	324	Henikoff-ChEC
chrI	4	504	505	429	579	504	Henikoff-ChEC
chrI	4	504	505	433	583	508	SLiM-ChIP
chrI	5	705	706	630	780	705	Henikoff-ChEC
chrI	6	736	737	630	780	705	Henikoff-ChEC
chrI	5	705	706	661	811	736	SLiM-ChIP
chrI	6	736	737	661	811	736	SLiM-ChIP
chrI	7	800	801	661	811	736	SLiM-ChIP
chrI	6	736	737	725	875	800	Henikoff-ChEC
chrI	7	800	801	725	875	800	Henikoff-ChEC
chrI	8	954	955	879	1029	954	Henikoff-ChEC
chrI	9	1106	1107	1031	1181	1106	Henikoff-ChEC
chrI	10	1262	1263	1187	1337	1262	Henikoff-ChEC
chrI	11	1432	1433	1357	1507	1432	Henikoff-ChEC
chrI	12	1458	1459	1357	1507	1432	Henikoff-ChEC
chrI	11	1432	1433	1383	1533	1458	SLiM-ChIP
chrI	12	1458	1459	1383	1533	1458	SLiM-ChIP
chrI	13	1509	1510	1383	1533	1458	SLiM-ChIP
chrI	12	1458	1459	1434	1584	1509	Henikoff-ChEC
chrI	13	1509	1510	1434	1584	1509	Henikoff-ChEC
chrI	14	1672	1673	1597	1747	1672	Henikoff-ChEC
chrI	15	2490	2491	2415	2565	2490	Henikoff-ChEC
chrI	16	2746	2747	2671	2821	2746	Henikoff-ChEC
chrI	17	2924	2925	2849	2999	2924	Henikoff-ChEC
chrI	18	12722	12723	12647	12797	12722	SLiM-ChIP
chrI	19	17884	17885	17809	17959	17884	Henikoff-ChEC
chrI	20	20908	20909	20833	20983	20908	Henikoff-ChEC
chrI	21	20994	20995	20919	21069	20994	Henikoff-ChEC
chrI	22	21104	21105	21029	21179	21104	Henikoff-ChEC
chrI	23	21138	21139	21029	21179	21104	Henikoff-ChEC
chrI	22	21104	21105	21063	21213	21138	Henikoff-ChEC
chrI	23	21138	21139	21063	21213	21138	Henikoff-ChEC
chrI	24	28428	28429	28353	28503	28428	Henikoff-ChEC
chrI	25	28596	28597	28521	28671	28596	Henikoff-ChEC
chrI	26	28666	28667	28521	28671	28596	Henikoff-ChEC
chrI	25	28596	28597	28591	28741	28666	SLiM-ChIP
chrI	26	28666	28667	28591	28741	28666	SLiM-ChIP
chrI	25	28596	28597	28595	28745	28670	Henikoff-ChEC
chrI	26	28666	28667	28595	28745	28670	Henikoff-ChEC
chrI	27	29790	29791	29715	29865	29790	Henikoff-ChEC
chrI	28	29854	29855	29715	29865	29790	Henikoff-ChEC
chrI	27	29790	29791	29779	29929	29854	Henikoff-ChEC
chrI	28	29854	29855	29779	29929	29854	Henikoff-ChEC
chrI	29	29910	29911	29779	29929	29854	Henikoff-ChEC
chrI	27	29790	29791	29789	29939	29864	Pugh-Chip-exo
chrI	28	29854	29855	29789	29939	29864	Pugh-Chip-exo
chrI	29	29910	29911	29789	29939	29864	Pugh-Chip-exo
chrI	28	29854	29855	29805	29955	29880	SLiM-ChIP
chrI	29	29910	29911	29805	29955	29880	SLiM-ChIP
chrI	30	29946	29947	29805	29955	29880	SLiM-ChIP
chrI	28	29854	29855	29835	29985	29910	Henikoff-ChEC
chrI	29	29910	29911	29835	29985	29910	Henikoff-ChEC
chrI	30	29946	29947	29835	29985	29910	Henikoff-ChEC
chrI	29	29910	29911	29871	30021	29946	Henikoff-ChEC
chrI	30	29946	29947	29871	30021	29946	Henikoff-ChEC
chrI	31	30964	30965	30889	31039	30964	Henikoff-ChEC
chrI	32	31066	31067	30991	31141	31066	SLiM-ChIP
chrI	33	31245	31246	31170	31320	31245	Henikoff-ChEC
chrI	34	31470	31471	31395	31545	31470	Henikoff-ChEC
chrI	35	31654	31655	31579	31729	31654	Henikoff-ChEC
chrI	35	31654	31655	31655	31805	31730	Henikoff-ChEC
chrI	36	31730	31731	31655	31805	31730	Henikoff-ChEC
chrI	37	31882	31883	31807	31957	31882	Henikoff-ChEC
chrI	38	33062	33063	32987	33137	33062	SLiM-ChIP
chrI	39	33098	33099	32987	33137	33062	SLiM-ChIP
chrI	38	33062	33063	33023	33173	33098	Hahn-ChEC
chrI	39	33098	33099	33023	33173	33098	Hahn-ChEC
chrI	38	33062	33063	33023	33173	33098	Henikoff-ChEC
chrI	39	33098	33099	33023	33173	33098	Henikoff-ChEC
chrI	40	33298	33299	33223	33373	33298	Henikoff-ChEC
chrI	41	34918	34919	34843	34993	34918	Henikoff-ChEC
chrI	42	38892	38893	38817	38967	38892	Henikoff-ChEC
chrI	43	39046	39047	38971	39121	39046	Henikoff-ChEC
chrI	44	42038	42039	41963	42113	42038	SLiM-ChIP
chrI	45	42298	42299	42223	42373	42298	Henikoff-ChEC
chrI	46	45078	45079	45003	45153	45078	Henikoff-ChEC
chrI	47	45124	45125	45003	45153	45078	Henikoff-ChEC
chrI	46	45078	45079	45049	45199	45124	Henikoff-ChEC
chrI	47	45124	45125	45049	45199	45124	Henikoff-ChEC
chrI	48	45305	45306	45230	45380	45305	Henikoff-ChEC
chrI	49	45326	45327	45230	45380	45305	Henikoff-ChEC
chrI	48	45305	45306	45251	45401	45326	Pugh-Chip-exo
chrI	49	45326	45327	45251	45401	45326	Pugh-Chip-exo
chrI	48	45305	45306	45261	45411	45336	SLiM-ChIP
chrI	49	45326	45327	45261	45411	45336	SLiM-ChIP
chrI	50	45404	45405	45261	45411	45336	SLiM-ChIP
chrI	50	45404	45405	45329	45479	45404	Hahn-ChEC
chrI	51	45448	45449	45329	45479	45404	Hahn-ChEC
chrI	50	45404	45405	45373	45523	45448	Pugh-Chip-exo
chrI	51	45448	45449	45373	45523	45448	Pugh-Chip-exo
chrI	52	45491	45492	45373	45523	45448	Pugh-Chip-exo
chrI	51	45448	45449	45416	45566	45491	Henikoff-ChEC
chrI	52	45491	45492	45416	45566	45491	Henikoff-ChEC
chrI	53	45700	45701	45625	45775	45700	Henikoff-ChEC
chrI	54	45896	45897	45821	45971	45896	Henikoff-ChEC
chrI	55	48348	48349	48273	48423	48348	Henikoff-ChEC
chrI	56	48393	48394	48273	48423	48348	Henikoff-ChEC
chrI	55	48348	48349	48318	48468	48393	Hahn-ChEC
chrI	56	48393	48394	48318	48468	48393	Hahn-ChEC
chrI	57	48480	48481	48405	48555	48480	Henikoff-ChEC
chrI	58	56966	56967	56891	57041	56966	Henikoff-ChEC
chrI	59	57452	57453	57377	57527	57452	Henikoff-ChEC
chrI	60	57642	57643	57567	57717	57642	Henikoff-ChEC
chrI	61	58180	58181	58105	58255	58180	Henikoff-ChEC
chrI	62	58346	58347	58271	58421	58346	Henikoff-ChEC
chrI	63	58526	58527	58451	58601	58526	Henikoff-ChEC
chrI	64	58572	58573	58451	58601	58526	Henikoff-ChEC
chrI	63	58526	58527	58497	58647	58572	SLiM-ChIP
chrI	64	58572	58573	58497	58647	58572	SLiM-ChIP
chrI	65	58609	58610	58497	58647	58572	SLiM-ChIP
chrI	64	58572	58573	58534	58684	58609	Henikoff-ChEC
chrI	65	58609	58610	58534	58684	58609	Henikoff-ChEC
chrI	66	61158	61159	61083	61233	61158	Henikoff-ChEC
chrI	66	61158	61159	61095	61245	61170	Pugh-Chip-exo
chrI	66	61158	61159	61109	61259	61184	SLiM-ChIP
chrI	67	61254	61255	61109	61259	61184	SLiM-ChIP
chrI	67	61254	61255	61179	61329	61254	Hahn-ChEC
chrI	68	62471	62472	62396	62546	62471	Henikoff-ChEC
chrI	69	62664	62665	62589	62739	62664	Pugh-Chip-exo
chrI	69	62664	62665	62602	62752	62677	Henikoff-ChEC
chrI	69	62664	62665	62619	62769	62694	SLiM-ChIP
chrI	70	62900	62901	62825	62975	62900	Henikoff-ChEC
chrI	71	68064	68065	67989	68139	68064	Henikoff-ChEC
chrI	72	68144	68145	68069	68219	68144	Henikoff-ChEC
chrI	73	68178	68179	68069	68219	68144	Henikoff-ChEC
chrI	74	68216	68217	68069	68219	68144	Henikoff-ChEC
chrI	72	68144	68145	68103	68253	68178	Henikoff-ChEC
chrI	73	68178	68179	68103	68253	68178	Henikoff-ChEC
chrI	74	68216	68217	68103	68253	68178	Henikoff-ChEC
chrI	72	68144	68145	68141	68291	68216	Henikoff-ChEC
chrI	73	68178	68179	68141	68291	68216	Henikoff-ChEC
chrI	74	68216	68217	68141	68291	68216	Henikoff-ChEC
chrI	75	68360	68361	68285	68435	68360	Henikoff-ChEC
chrI	76	68600	68601	68525	68675	68600	Henikoff-ChEC
chrI	77	68794	68795	68719	68869	68794	Henikoff-ChEC
chrI	78	69734	69735	69659	69809	69734	SLiM-ChIP
chrI	79	69794	69795	69659	69809	69734	SLiM-ChIP
chrI	78	69734	69735	69719	69869	69794	Henikoff-ChEC
chrI	79	69794	69795	69719	69869	69794	Henikoff-ChEC
chrI	80	69910	69911	69835	69985	69910	Henikoff-ChEC
chrI	81	70211	70212	70136	70286	70211	Henikoff-ChEC
chrI	82	70436	70437	70361	70511	70436	Henikoff-ChEC
chrI	83	70902	70903	70827	70977	70902	Henikoff-ChEC
chrI	84	70940	70941	70827	70977	70902	Henikoff-ChEC
chrI	83	70902	70903	70865	71015	70940	Henikoff-ChEC
chrI	84	70940	70941	70865	71015	70940	Henikoff-ChEC
chrI	85	71004	71005	70865	71015	70940	Henikoff-ChEC
