A0A0B4J2F2	1	20	IDR	eps:0.915
A0A0B4J2F2	353	783	IDR	eps:1.66
A0A0C5B5G6	1	16	IDR	eps:-6.19
A0A0K2S4Q6	1	27	IDR	eps:-7.59
A0A0K2S4Q6	140	201	IDR	eps:-10.0
A0A0U1RRE5	1	68	IDR	eps:6.61
A0A1B0GTW7	1	60	IDR	eps:-17.0
A0A1B0GTW7	713	788	IDR	eps:-8.99
A0AV02	418	594	IDR	eps:5.19
A0AV02	634	714	IDR	eps:-9.33
A0AV96	1	30	IDR	eps:7.96
A0AV96	320	593	IDR	eps:-3.24
A0AVF1	1	26	IDR	eps:8.31
A0AVK6	1	116	IDR	eps:19.3
A0AVK6	336	867	IDR	eps:48.4
A0AVT1	1	31	IDR	eps:5.65
A0AVT1	800	815	IDR	eps:3.92
A0FGR8	1	108	IDR	eps:-1.96
A0FGR8	550	566	IDR	eps:3.75
A0FGR8	622	761	IDR	eps:30.8
A0FGR9	1	30	IDR	eps:1.2
A0FGR9	607	736	IDR	eps:23.4
A0JLT2	1	62	IDR	eps:10.1
A0JLT2	115	244	IDR	eps:12.5
A0JNW5	95	114	IDR	eps:3.79
A0JNW5	268	302	IDR	eps:10.0
A0JNW5	409	485	IDR	eps:15.0
A0JNW5	588	606	IDR	eps:1.87
A0JNW5	730	802	IDR	eps:7.96
A0JNW5	845	1189	IDR	eps:69.9
A0JNW5	1307	1421	IDR	eps:13.1
A0JP26	1	127	IDR	eps:-4.65
A0JP26	368	499	IDR	eps:28.2
A0M8Q6	1	106	IDR	eps:12.8
A0MZ66	114	134	IDR	eps:16.4
A0MZ66	341	631	IDR	eps:68.1
A0PJK1	556	596	IDR	eps:-7.61
A0PJY2	1	256	IDR	eps:6.1
A0PJY2	427	475	IDR	eps:2.93
A1A4S6	576	786	IDR	eps:25.3
A1A4Y4	1	13	IDR	eps:6.31
A1A519	1	216	IDR	eps:28.4
A1A519	268	330	IDR	eps:24.0
A1A5B4	751	782	IDR	eps:0.73
A1A5C7	1	71	IDR	eps:4.17
A1A5C7	122	198	IDR	eps:4.35
A1A5C7	620	686	IDR	eps:5.44
A1E959	1	279	IDR	eps:-3.29
A1KXE4	1	195	IDR	eps:15.6
A1KZ92	1	43	IDR	eps:-9.98
A1KZ92	841	947	IDR	eps:1.2
A1L0T0	1	14	IDR	eps:1.86
A1L390	1	88	IDR	eps:7.64
A1L390	429	1219	IDR	eps:87.4
A1L3X0	267	281	IDR	eps:5.17
A1L4H1	1	16	IDR	eps:-14.3
A1L4H1	124	192	IDR	eps:7.14
A1L4H1	406	467	IDR	eps:9.25
A1L4H1	589	769	IDR	eps:29.8
A1L4H1	885	1483	IDR	eps:88.7
A1L4H1	1551	1573	IDR	eps:6.45
A1L4K1	1	142	IDR	eps:16.7
A1L4K1	367	387	IDR	eps:3.88
A1X283	132	148	IDR	eps:4.56
A1X283	273	366	IDR	eps:5.21
A1X283	426	850	IDR	eps:63.2
A1XBS5	232	289	IDR	eps:14.1
A1Z1Q3	48	65	IDR	eps:4.15
A1Z1Q3	239	425	IDR	eps:86.2
A2A288	49	75	IDR	eps:1.22
A2A288	232	255	IDR	eps:-0.338
A2A288	292	476	IDR	eps:1.68
A2A2Y4	1	30	IDR	eps:-0.435
A2A2Y4	337	490	IDR	eps:42.7
A2IDD5	1	19	IDR	eps:1.54
A2IDD5	104	166	IDR	eps:4.91
A2IDD5	334	438	IDR	eps:-5.99
A2PYH4	1	239	IDR	eps:16.7
A2PYH4	1099	1435	IDR	eps:27.8
A2RRP1	1	19	IDR	eps:7.94
A2RRP1	453	478	IDR	eps:9.78
A2RRP1	641	656	IDR	eps:5.97
A2RRP1	1375	1405	IDR	eps:13.8
A2RRP1	1931	1948	IDR	eps:2.96
A2RTX5	90	125	IDR	eps:13.8
A2RU30	1	54	IDR	eps:11.0
A2RU30	133	148	IDR	eps:1.89
A2RU30	295	521	IDR	eps:27.7
A2RU49	1	18	IDR	eps:0.06
A2RUB1	1	805	IDR	eps:9.28
A2RUB1	862	952	IDR	eps:9.96
A2RUB6	1	255	IDR	eps:35.0
A2RUB6	367	494	IDR	eps:17.3
A2RUB6	564	948	IDR	eps:33.9
A2RUH7	1	45	IDR	eps:12.3
A2VDJ0	1	83	IDR	eps:-0.955
A2VDJ0	905	1609	IDR	eps:73.7
A2VEC9	1	36	IDR	eps:-8.05
A2VEC9	1399	1417	IDR	eps:8.95
A2VEC9	1519	1696	IDR	eps:16.1
A2VEC9	1778	1807	IDR	eps:0.66
A2VEC9	1934	1949	IDR	eps:-0.451
A2VEC9	2024	2156	IDR	eps:-4.65
A2VEC9	2254	2470	IDR	eps:19.1
A2VEC9	2569	2606	IDR	eps:3.41
A2VEC9	2741	2879	IDR	eps:-0.0498
A2VEC9	3211	3243	IDR	eps:7.29
A2VEC9	3430	3523	IDR	eps:0.394
A2VEC9	3592	3617	IDR	eps:-1.38
A2VEC9	3867	3883	IDR	eps:3.86
A2VEC9	4027	4048	IDR	eps:1.04
A2VEC9	4155	4211	IDR	eps:-1.23
A2VEC9	4290	4302	IDR	eps:-0.334
A3KMH1	1	57	IDR	eps:-5.71
A3KMH1	1318	1416	IDR	eps:5.53
A3KMH1	1535	1591	IDR	eps:3.51
A4D0S4	1	25	IDR	eps:-6.47
A4D0S4	1321	1335	IDR	eps:4.89
A4D126	1	66	IDR	eps:7.04
A4D161	170	298	IDR	eps:12.6
A4D1B5	1	39	IDR	eps:-2.61
A4D1E9	1	40	IDR	eps:-4.75
A4D1E9	366	387	IDR	eps:3.55
A4D1P6	212	395	IDR	eps:31.6
A4D1T9	1	20	IDR	eps:-4.63
A4D256	1	15	IDR	eps:-0.0535
A4D256	367	447	IDR	eps:-4.4
A4D2B0	50	71	IDR	eps:2.74
A4D2B0	238	266	IDR	eps:13.6
A4D2B8	1	224	IDR	eps:-0.745
A4D2B8	397	440	IDR	eps:4.8
A4GXA9	1	56	IDR	eps:-0.0731
A4GXA9	195	210	IDR	eps:2.89
A4GXA9	342	379	IDR	eps:-4.28
A4UGR9	1	427	IDR	eps:53.1
A4UGR9	488	501	IDR	eps:2.84
A4UGR9	1223	1242	IDR	eps:3.06
A4UGR9	1550	1636	IDR	eps:9.53
A4UGR9	1703	1717	IDR	eps:1.79
A4UGR9	1764	2767	IDR	eps:142.0
A4UGR9	2860	3374	IDR	eps:48.2
A5A3E0	1	127	IDR	eps:-0.691
A5A3E0	367	618	IDR	eps:39.1
A5A3E0	707	762	IDR	eps:2.73
A5D8T8	1	40	IDR	eps:-7.61
A5D8V6	159	355	IDR	eps:2.23
A5D8V7	1	67	IDR	eps:6.38
A5D8V7	548	595	IDR	eps:0.959
A5D8W1	1	40	IDR	eps:10.2
A5D8W1	867	941	IDR	eps:5.68
A5LHX3	1	25	IDR	eps:0.679
A5LHX3	254	300	IDR	eps:16.3
