proteome_id	per_protein	total_proteome
UP000007663	0.10133	0.0486
UP000169135	0.13786	0.12896
UP000100541	0.09917	0.06855
UP000153735	0.291	0.14995
UP000172497	0.1336	0.0897
UP000000832	0.06266	0.05604
UP000155737	0.37111	0.29699
UP000139997	0.19844	0.05656
UP000002476	0.2799	0.07466
UP000116555	0.27272	0.23736
UP000202299	0.16136	0.14854
UP000268925	0.0702	0.06973
UP000108423	0.11239	0.0982
UP000111607	0.08696	0.07752
UP000143817	0.3516	0.30986
UP000146258	0.09862	0.08687
UP000115416	0.07798	0.06841
UP000146794	0.10046	0.08818
UP000106032	0.08784	0.07677
UP000678544	0.10415	0.13164
UP000007209	0.25741	0.21114
UP000232642	0.18969	0.08898
UP000124852	0.23444	0.15018
UP000246342	0.1911	0.16493
UP000140112	0.02468	0.03594
UP000154182	0.32001	0.30015
UP000298557	0.20153	0.23067
UP000222619	0.2712	0.23669
UP000121369	0.10716	0.08383
UP000150202	0.01444	0.01808
UP000153626	0.42747	0.3638
UP000123729	0.34124	0.31065
UP000111445	0.63986	0.51711
UP000000518	0.61093	0.26158
UP000281422	0.26185	0.27415
UP000004993	0.27649	0.2299
UP000115299	0.28848	0.26758
UP000008167	0.4828	0.38737
UP000109192	0.28261	0.24237
UP000155350	0.28929	0.24916
UP000681497	0.39096	0.32134
UP000120055	0.33679	0.28284
UP000168915	0.30035	0.27251
UP000113390	0.09283	0.08544
UP000680639	0.0	0.0
UP000681901	0.0	0.0
UP000001650	0.26599	0.25784
UP000140113	0.30088	0.22083
UP000125118	0.52602	0.4704
UP000006716	0.09877	0.04332
UP000204153	0.12975	0.10235
UP000204351	0.10159	0.0941
UP000204118	0.0	0.0
UP000269806	0.0683	0.07486
UP000119980	0.06386	0.05376
UP000202482	0.13023	0.13903
UP000225385	0.19939	0.18358
UP000240848	0.30069	0.16456
UP000223848	0.30377	0.17792
UP000225915	0.28127	0.23017
UP000002602	0.22138	0.18761
UP000009105	0.22254	0.26154
UP000101375	0.3487	0.33783
UP000008222	0.25423	0.28205
UP000096870	0.47578	0.44397
UP000116758	0.36971	0.35445
UP000171862	0.38214	0.4081
UP000096661	0.40535	0.41929
UP000167318	0.36811	0.36002
UP000131008	0.36898	0.35494
UP000117015	0.39561	0.40149
UP000156843	0.32809	0.30865
UP000112284	0.40315	0.41027
UP000119411	0.35014	0.33306
UP000008232	0.32594	0.35474
UP000127867	0.42224	0.42656
UP000129753	0.37495	0.36929
UP000009251	0.4079	0.39
UP000141459	0.27547	0.28907
UP000009109	0.40135	0.38345
UP000140463	0.33225	0.31081
UP000009111	0.39983	0.3955
UP000009112	0.30365	0.31145
UP000158064	0.388	0.39174
UP000009155	0.37207	0.39321
UP000009116	0.38587	0.37137
UP000009117	0.36776	0.39982
UP000007711	0.29217	0.30364
UP000009253	0.4178	0.42333
UP000009123	0.35735	0.35049
UP000009252	0.46934	0.42766
UP000107061	0.42986	0.38064
UP000007666	0.42758	0.45408
UP000149637	0.38726	0.39205
UP000102297	0.43218	0.38693
UP000171341	0.38463	0.38618
UP000145193	0.39871	0.38894
UP000172383	0.37858	0.39289
UP000111499	0.45624	0.43239
UP000136351	0.36569	0.3643
UP000009104	0.31992	0.3545
UP000131287	0.32982	0.21108
UP000109002	0.25272	0.25877
UP000006372	0.28644	0.30702
UP000009113	0.25504	0.33497
UP000006367	0.40962	0.42206
UP000112710	0.35976	0.3575
UP000168289	0.30784	0.26586
UP000007665	0.40613	0.40939
UP000120507	0.30317	0.30899
UP000007670	0.43147	0.39761
UP000007671	0.38938	0.37558
UP000008226	0.44063	0.40231
UP000007677	0.37431	0.36168
UP000113513	0.37915	0.36691
UP000142218	0.4598	0.41645
UP000163734	0.42574	0.40265
UP000161261	0.19206	0.27372
UP000136985	0.28672	0.15877
UP000000356	0.03305	0.0642
UP000158017	0.11174	0.13322
UP000119412	0.11832	0.14302
UP000163738	0.1014	0.11726
UP000114294	0.13439	0.0611
UP000280828	0.06154	0.06969
UP000138352	0.21573	0.18109
UP000107193	0.12217	0.10227
UP000009254	0.35589	0.24978
UP000119470	0.37385	0.2554
UP000202873	0.1039	0.10619
UP000131152	0.16992	0.0993
UP000009255	0.17887	0.10834
UP000008158	0.06867	0.06274
UP000008286	0.09435	0.11341
UP000207720	0.32427	0.11362
UP000119730	0.13826	0.08414
UP000202361	0.09317	0.17686
UP000006826	0.16028	0.08713
UP000110594	0.33375	0.28303
UP000201247	0.15222	0.11284
UP000180448	0.2044	0.18941
UP000000869	0.24388	0.21116
UP000516359	0.12398	0.08815
UP000204593	0.10513	0.13594
UP000170148	0.06297	0.0901
UP000166181	0.13053	0.1791
UP000145802	0.1142	0.15754
UP000117676	0.28207	0.08763
UP000114561	0.09646	0.04751
UP000029742	0.22452	0.22452
UP000007049	0.16304	0.04643
UP000000570	0.07166	0.06676
UP000464024	0.21781	0.05811
UP000000354	0.30249	0.23079
UP000201130	0.04092	0.08934
UP000006710	0.17016	0.1568
UP000131520	0.55718	0.36265
UP000162416	0.66109	0.59007
UP001156851	0.07015	0.09425
UP000143765	0.28272	0.16511
UP000116215	0.09709	0.13919
UP000139373	0.11711	0.14754
UP000500835	0.1739	0.12933
UP000297110	0.04366	0.05851
UP000118000	0.71281	0.76292
UP000139264	0.57019	0.50871
UP000111166	0.62339	0.60462
UP000141160	0.46361	0.37519
UP000113296	0.49963	0.44528
UP000147262	0.56617	0.48473
UP000232409	0.50924	0.46533
UP000232525	0.57104	0.47374
UP000162179	0.47084	0.45008
UP000179300	0.56032	0.43568
UP000116093	0.47204	0.39107
UP000677553	0.49356	0.51014
UP000232879	0.45319	0.37002
UP000232595	0.64146	0.3847
UP000116498	0.74215	0.77063
UP000157177	0.43674	0.37041
UP000158564	0.55725	0.37403
UP000114391	0.50991	0.30726
UP000133488	0.49155	0.32475
UP000114428	0.36019	0.35294
UP000155130	0.76222	0.58527
UP000114767	0.60165	0.37652
UP000151607	0.53753	0.38944
UP000140929	0.31974	0.29799
UP000683093	0.66494	0.6423
UP000164947	0.75539	0.55657
UP000171073	0.688	0.6024
UP000232560	0.67049	0.45424
UP000232671	0.56531	0.28944
UP000140739	0.54012	0.39737
UP000144241	0.57293	0.29117
UP000232833	0.62403	0.4892
UP000232847	0.51544	0.44154
UP000008261	0.76487	0.46032
UP000007551	0.79804	0.62552
UP000232736	0.86676	0.69949
UP000008257	0.80835	0.64629
UP000232856	0.35867	0.30536
UP000008258	0.70668	0.56677
UP000172761	0.66894	0.41068
UP000204292	0.00716	0.01689
UP000112218	0.09457	0.12838
UP000153939	0.11131	0.11624
UP000002240	0.27687	0.22066
UP000290503	0.16127	0.06586
UP000106096	0.25188	0.20095
UP000054557	0.06932	0.06932
