"family","mean_TFAP","sd_TFAP","spp"
"Abditibacteriaceae",0.09282,NA,"Abditibacterium utsteinense"
"Abyssicoccaceae",0.05212,NA,"Abyssicoccus albus"
"Acanthasteridae",0.3412,NA,"Acanthaster planci"
"Acanthisittidae",0.26011,NA,"Acanthisitta chloris"
"Acanthizidae",0.273735,0.00200111219075793,"Origma solitaria"
"Acanthopleuribacteraceae",0.064205,0.00194454364826301,"Sulfidibacter corallicola"
"Acaulosporaceae",0.26292,NA,"Acaulospora morrowiae"
"Accipitridae",0.281064,0.0234032311871673,"Haliaeetus albicilla"
"Acetobacteraceae",0.0733602702702703,0.0121018806387456,"Acetobacteraceae bacterium AT-5844"
"Acholeplasmataceae",0.0529535714285714,0.0280704815138177,"Candidatus Phytoplasma australiense"
"Acidaminococcaceae",0.04032,0.0136754451481478,"Phascolarctobacterium sp. CAG:266"
"Acidiferrobacteraceae",0.0606433333333333,0.006800811226121,"Sulfurifustis variabilis"
"Acidilobaceae",0.02624,0.000113137084989848,"Acidilobus sp. SCGC AC-742_E15"
"Acidimicrobiaceae",0.07746,NA,"Acidithrix ferrooxidans"
"Acidithiobacillaceae",0.0558566666666667,0.00619629997121938,"Acidithiobacillus marinus"
"Acidobacteriaceae",0.0805754166666667,0.0084175654743217,"Terriglobus roseus"
"Acipenseridae",0.34351,NA,"Acipenser ruthenus"
"Acrospermaceae",0.2982,NA,"Pseudovirgaria hyperparasitica"
"Actinidiaceae",0.31685,NA,"Actinidia rufa"
"Actiniidae",0.28527,NA,"Actinia tenebrosa"
"Actinomycetaceae",0.0945455882352941,0.0250861130473677,"Actinomyces sp. S6-Spd3"
"Actinopolymorphaceae",0.101165,0.00474468650176174,"Actinopolymorpha singaporensis"
"Actinopolysporaceae",0.123795,0.00886004796826745,"Actinopolyspora mzabensis"
"Actinospicaceae",0.09848,0.00620799484535868,"Actinospica durhamensis"
"Acutalibacteraceae",0.050585,0.0054380169704984,"Anaeromassilibacillus sp. An200"
"Adinetidae",0.242315,0.00262336615820208,"Adineta ricciae"
"Adrianichthyidae",0.3288975,0.0402980730515327,"Oryzias latipes"
"Aegithalidae",0.26956,NA,"Aegithalos caudatus"
"Aegothelidae",0.27227,NA,"Aegotheles bennettii"
"Aerococcaceae",0.0504086666666667,0.00739099632435754,"Aerococcus sp. Group 1"
"Aeromonadaceae",0.040486,0.00216728632164742,"Oceanimonas sp. GK1"
"Aestuariirhabdaceae",0.05022,NA,"Aestuariirhabdus litorea"
"Aestuariivirgaceae",0.05469,NA,"Aestuariivirga litoralis"
"Afifellaceae",0.07754,NA,"Faunimonas pinastri"
"Agamidae",0.34321,0.0100833426997202,"Pogona vitticeps"
"Agaricaceae",0.279155,0.0267498495322871,"Leucoagaricus sp. SymC.cos"
"Ahrensiaceae",0.064428,0.0135278645764954,"Ahrensia sp. R2A130"
"Aiptasiidae",0.27146,NA,"Exaiptasia diaphana"
"Ajellomycetaceae",0.3371275,0.0129915332318509,"Histoplasma mississippiense (nom. inval.)"
"Akkermansiaceae",0.07132,0.00487903679018718,"Akkermansia glycaniphila"
"Alaudidae",0.27575,NA,"Alaudala cheleensis"
"Albuginaceae",0.23762,NA,"Albugo candida"
"Albulidae",0.359355,0.0223657874889305,"Albula glossodonta"
"Alcaligenaceae",0.0554025531914894,0.00814707321896352,"Alcaligenes sp. EGD-AK7"
"Alcanivoracaceae",0.0465333333333333,0.00333976546082705,"Marinicella litoralis"
"Alcedinidae",0.283295,0.00491439212924651,"Ceyx cyanopectus"
"Alcidae",0.27633,0.00494974746830584,"Alca torda"
"Aleyrodidae",0.33645,NA,"Bemisia tabaci"
"Alicyclobacillaceae",0.050673125,0.0077131089440856,"Tumebacillus flagellatus"
"Alligatoridae",0.34157,0.0154149278298667,"Alligator mississippiensis"
"Alsobacteraceae",0.080135,0.000544472221513637,"Alsobacter soli"
"Alteromonadaceae",0.0485641666666667,0.00709952085908418,"Catenovulum maritimum"
"Ambassidae",0.37928,NA,"Parambassis ranga"
"Ambisporaceae",0.26738,0.00514773736703807,"Ambispora leptoticha"
"Amborellaceae",0.28987,NA,"Amborella trichopoda"
"Aminithiophilaceae",0.04264,NA,"Aminithiophilus ramosus"
"Aminobacteriaceae",0.0465066666666667,0.00414396348117757,"Fretibacterium fastidiosum"
"Amoebophilaceae",0.0731466666666667,0.00401328211484482,"Candidatus Cardinium hertigii"
"Amoebophryaceae",0.530235,0.0103449722087591,"Amoebophrya sp. A120"
"Amorphaceae",0.06064,0.00797616449178426,"Acuticoccus sediminis"
"Amphiacanthidae",0.14489,NA,"Amphiamblys sp. WSBS2006"
"Ampullariidae",0.33265,NA,"Pomacea canaliculata"
"Anabantidae",0.24521,NA,"Anabas testudineus"
"Anaeramoebidae",0.26564,NA,"Anaeramoeba ignava"
"Anaerohalosphaeraceae",0.06195,NA,"Anaerohalosphaera lusitana"
"Anaerolineaceae",0.044404,0.00514109413343978,"Ornatilinea apprima"
"Anaeromyxobacteraceae",0.092745,0.00562149891043305,"Anaeromyxobacter sp. Fw109-5"
"Anaeroplasmataceae",0.02912,NA,"Anaeroplasma bactoclasticum"
"Anaerotignaceae",0.03576,NA,"Anaerotignum neopropionicum"
"Anaerovoracaceae",0.0365816666666667,0.00656492320340967,"Mogibacterium sp. CM50"
"Anaplasmataceae",0.0717414285714286,0.0217252299017919,"Wolbachia endosymbiont of Onchocerca ochengi"
"Anatidae",0.320931666666667,0.0275295139199127,"Anas platyrhynchos"
"Ancalomicrobiaceae",0.0665,NA,"Siculibacillus lacustris"
"Ancylostomatidae",0.2582025,0.0199982788842774,"Ancylostoma ceylanicum"
"Andaluciidae",0.22432,NA,"Andalucia godoyi"
"Anguillidae",0.34811,NA,"Anguilla anguilla"
"Anguinidae",0.31031,NA,"Ditylenchus dipsaci"
"Anhimidae",0.2741,NA,"Chauna torquata"
"Anhingidae",0.27132,0.00469518902707866,"Anhinga rufa"
"Anisakidae",0.31049,NA,"Anisakis simplex"
"Anseranatidae",0.27355,NA,"Anseranas semipalmata"
"Anthracoideaceae",0.43993,NA,"Testicularia cyperi"
"Antricoccaceae",0.07428,NA,"Antricoccus suffuscus"
"Aotidae",0.33036,NA,"Aotus nancymaae"
"Aphelenchoididae",0.28101,0.0175786745802976,"Bursaphelenchus okinawaensis"
"Aphididae",0.29186,0.0186000591396909,"Acyrthosiphon pisum"
"Apiaceae",0.26561,NA,"Apium graveolens"
"Apidae",0.36195,0.0230940301500502,"Apis mellifera"
"Apiosporaceae",0.26036,NA,"Neoarthrinium moseri"
"Apodidae",0.267365,0.00796909342397239,"Chaetura pelagica"
"Apogonidae",0.23368,NA,"Sphaeramia orbicularis"
"Apterygidae",0.30187,NA,"Apteryx owenii"
"Aquaspirillaceae",0.054145,0.0053669404692059,"Aquaspirillum sp. LM1"
"Aquificaceae",0.022446,0.00433243926674108,"Hydrogenivirga sp. 128-5-R1-1"
"Araceae",0.331455,0.0697277996928054,"Colocasia esculenta"
"Aramidae",0.27478,NA,"Aramus guarauna"
"Araneidae",0.309305,0.0528845161649419,"Araneus ventricosus"
"Archaeoglobaceae",0.01701,NA,"Geoglobus ahangari"
"Archangiaceae",0.094308,0.00840536554826737,"Hyalangium minutum"
"Arcobacteraceae",0.0421671428571429,0.00753266821758336,"Poseidonibacter parvus"
"Ardeidae",0.271895,0.00878933729014878,"Egretta garzetta"
"Ardenticatenaceae",0.04763,NA,"Ardenticatena maritima"
"Arecaceae",0.297756666666667,0.00334528523945765,"Phoenix dactylifera"
"Arenicellaceae",0.056955,0.00576292026667036,"Arenicella xantha"
"Armadillidiidae",0.32314,NA,"Armadillidium nasatum"
"Armatimonadaceae",0.06412,NA,"Armatimonas rosea"
"Artamidae",0.27775,NA,"Gymnorhina tibicen"
"Arthrodermataceae",0.31251,0.00988535280098793,"Trichophyton rubrum"
"Ascarididae",0.31306,0.0217364624536745,"Parascaris equorum"
"Ascodesmidaceae",0.35867,NA,"Ascodesmis nigricans"
"Asparagaceae",0.30408,NA,"Asparagus officinalis"
"Aspergillaceae",0.254268815789474,0.0246498197947222,"Penicillium italicum"
"Asteraceae",0.249683333333333,0.0135916322296723,"Helianthus annuus"
"Asterinidae",0.32866,NA,"Patiria miniata"
"Atheliaceae",0.27014,0.00318198051533947,"Fibularhizoctonia sp. CBS 109695"
"Atherinopsidae",0.35828,NA,"Menidia menidia"
"Atopobiaceae",0.0666725,0.0158091842655735,"Tractidigestivibacter scatoligenes"
"Atribacteraceae",0.02789,NA,"Atribacter laminatus"
"Aurantimonadaceae",0.0690670833333333,0.0122057632428529,"Aureimonas altamirensis"
"Azonexaceae",0.049398,0.0065217765984431,"Dechloromonas denitrificans"
