proteome_id	per_protein	total_proteome
UP000246416	0.09584	0.06297
UP000001736	0.12932	0.12404
UP000002102	0.15285	0.15192
UP000001111	0.15323	0.11885
UP000002126	0.0	0.0
UP000010377	0.1318	0.08865
UP000010375	0.15724	0.10568
UP000000725	0.12609	0.1314
UP000008853	0.12536	0.13022
UP000030156	0.13558	0.14546
UP000010392	0.1402	0.11683
UP000010395	0.11367	0.07786
UP000010396	0.12651	0.09803
UP000010398	0.13234	0.15217
UP000010400	0.17565	0.11198
UP000259700	0.14627	0.08505
UP000012980	0.20741	0.12515
UP000001005	0.13015	0.09303
UP000002143	0.24321	0.19494
UP000000728	0.00982	0.00873
UP000002092	0.24182	0.11353
UP000502759	0.06858	0.04765
UP000201874	0.09322	0.07614
UP000029889	0.07616	0.05779
UP000015081	0.15376	0.09241
UP000678174	0.15256	0.08921
UP001056071	0.2271	0.08253
UP000009210	0.07981	0.05709
UP000002137	0.26953	0.18092
UP000231327	0.12067	0.14327
UP001056468	0.14085	0.08507
UP000299130	0.17296	0.09363
UP000502897	0.07992	0.04983
UP000514836	0.18498	0.11644
UP000225255	0.10549	0.10302
UP000516169	0.11802	0.10483
UP000680437	0.10418	0.0974
UP000012985	0.13447	0.09843
UP000007330	0.11116	0.09744
UP000007331	0.13558	0.1268
UP000033808	0.17981	0.09922
UP000250157	0.07028	0.04781
UP000001696	0.12463	0.07864
UP001162813	0.17916	0.09797
UP000223204	0.10632	0.06274
UP000002140	0.31564	0.20809
UP000204484	0.15945	0.07471
UP000241263	0.16194	0.10795
UP000252726	0.10132	0.07255
UP001056045	0.07239	0.0634
UP000321468	0.04964	0.0491
UP000321526	0.08223	0.06426
UP000010369	0.13472	0.12029
UP000010376	0.11874	0.11556
UP000010373	0.17932	0.17159
UP000010374	0.15784	0.14238
UP000010371	0.12262	0.07614
UP000010372	0.15249	0.09908
UP000010370	0.12125	0.13083
UP000008847	0.09685	0.07277
UP000002576	0.13471	0.16675
UP000008045	0.10472	0.07599
UP000242634	0.14159	0.08413
UP001059862	0.13604	0.0731
UP000001833	0.38074	0.20717
UP000001223	0.09718	0.10382
UP000297193	0.06868	0.05045
UP000594514	0.12965	0.09757
UP000000786	0.06943	0.04171
UP000001530	0.20436	0.08467
UP000001891	0.12217	0.08935
UP000001893	0.14653	0.09932
UP000019301	0.15132	0.15944
UP000001711	0.14838	0.1053
UP000240724	0.15959	0.12758
UP000204550	0.15079	0.07964
UP000010394	0.12067	0.132
UP000010399	0.09862	0.10914
UP000010401	0.14915	0.09799
UP000002127	0.15337	0.11024
UP000516408	0.28452	0.09351
UP000002611	0.10354	0.09991
UP000242358	0.16311	0.16995
UP000002132	0.09464	0.06856
UP000001789	0.08067	0.10177
UP000268950	0.13519	0.10232
UP000243552	0.12153	0.11865
UP001057841	0.15656	0.07313
UP000223569	0.12848	0.09279
UP000008091	0.16378	0.09829
UP000030927	0.15594	0.11203
UP001057764	0.04562	0.0441
UP000324737	0.21516	0.09287
UP000509789	0.19143	0.1164
UP000509352	0.25496	0.1933
UP000264229	0.13259	0.09593
UP000240674	0.09379	0.09376
UP000009369	0.09024	0.05524
UP000291245	0.12173	0.07128
UP000250998	0.11923	0.10616
UP000246259	0.12968	0.12794
UP000009013	0.07827	0.05193
UP000002006	0.14851	0.1388
UP000002080	0.10916	0.13321
UP000009054	0.13846	0.09109
UP000328074	0.13393	0.07666
UP000366750	0.14463	0.10593
UP000596413	0.15149	0.09708
UP000322031	0.16465	0.07697
UP001164277	0.09269	0.05069
UP000030324	0.11168	0.06885
UP000202111	0.10754	0.05522
UP000204159	0.12671	0.07211
UP000307461	0.16554	0.17484
UP000001832	0.03009	0.03472
UP000001091	0.05866	0.04558
UP000000876	0.05828	0.04493
UP000246402	0.12531	0.08697
UP000500739	0.1745	0.08994
UP000286882	0.13129	0.0785
UP000001535	0.06689	0.04028
UP000324736	0.15846	0.08232
UP000030205	0.10546	0.14019
UP000247164	0.07397	0.04671
UP000252591	0.19022	0.09808
UP000001804	0.12751	0.07686
UP000224880	0.12439	0.09417
UP000222018	0.1601	0.07995
UP001059423	0.13671	0.10922
UP001056921	0.13949	0.08676
UP000001156	0.10752	0.06818
UP000002107	0.06557	0.0528
UP000000840	0.24437	0.11733
UP000515966	0.17795	0.08848
UP001058329	0.08589	0.05311
UP001060519	0.10181	0.07765
UP000680435	0.14779	0.09786
UP000510878	0.09404	0.05703
UP001156362	0.12	0.08917
UP001059364	0.21547	0.16019
UP001059111	0.11427	0.08008
UP001156404	0.15963	0.10495
UP001056207	0.10466	0.07648
UP001056173	0.13972	0.08793
UP000288494	0.06337	0.04244
UP000509770	0.16234	0.07833
UP000664912	0.09304	0.05767
UP000294673	0.05426	0.05381
UP000263419	0.05105	0.05734
UP000300764	0.0806	0.04956
UP000594201	0.46107	0.15279
UP001056206	0.16098	0.12443
UP001056409	0.13701	0.12444
UP000009272	0.253	0.19235
UP000009213	0.17853	0.08251
UP000008899	0.1386	0.11459
UP000027383	0.15535	0.11006
UP000465040	0.20762	0.09835
UP000681788	0.14647	0.07717
UP000240398	0.09265	0.06953
UP000375734	0.08022	0.04736
UP001060030	0.11403	0.1721
UP001059928	0.19706	0.10416
UP001056215	0.13523	0.15602
UP001156324	0.0584	0.05965
UP001060140	0.13628	0.07956
UP001059112	0.18566	0.17305
UP001057519	0.11829	0.16181
UP001057529	0.16039	0.14527
UP001156388	0.13304	0.14347
UP001156405	0.19573	0.17192
UP000240477	0.13502	0.08281
UP000225515	0.10777	0.07558
UP000295073	0.08602	0.06648
UP001056758	0.20285	0.09562
UP000009212	0.06849	0.0442
UP000224800	0.06803	0.04844
UP000222601	0.11161	0.05881
UP000516243	0.08571	0.05782
UP000306344	0.09674	0.06957
UP000294812	0.15334	0.10121
UP000307356	0.09523	0.07308
UP000202254	0.11835	0.08392
UP000315658	0.09551	0.06572
UP001058140	0.14215	0.09772
UP000281966	0.08584	0.05718
UP000502302	0.12258	0.0764
UP000240719	0.17803	0.08155
UP000291068	0.08815	0.0773
UP000223018	0.21808	0.09242
UP000325949	0.20343	0.0804
UP000325906	0.15537	0.08587
UP000510920	0.2305	0.10477
UP000510880	0.22792	0.10195
UP000000853	0.29552	0.17509
UP000002111	0.37005	0.23702
UP000000373	0.27147	0.23781
UP000423183	0.14012	0.06605
UP000426939	0.11606	0.06002
UP000000372	0.28564	0.18028
UP001060583	0.21083	0.10431
UP000503104	0.23994	0.10866
UP000000913	0.16971	0.16878
UP000009087	0.06597	0.04264
UP000422671	0.15489	0.1301
UP000001000	0.21448	0.11064
