proteome_id	per_protein	total_proteome
UP000202152	0.06853	0.06847
UP000001777	0.16557	0.07371
UP000502393	0.01976	0.01355
UP000249929	0.06238	0.08494
UP000008910	0.08742	0.08758
UP000003929	0.08163	0.0378
UP000241134	0.1899	0.10903
UP001144636	0.02652	0.06861
UP000009161	0.12222	0.08956
UP000008911	0.03617	0.04682
UP000001066	0.02724	0.0304
UP000001308	0.03364	0.03189
UP000008691	0.0165	0.04007
UP000002150	0.13609	0.1251
UP000208062	0.43624	0.39952
UP000202086	0.25478	0.22754
UP000204143	0.34022	0.26429
UP000007576	0.39226	0.33822
UP000202879	0.38789	0.4473
UP000201793	0.42966	0.4602
UP000241949	0.3197	0.17285
UP000240235	0.41529	0.23124
UP000203449	0.37841	0.32224
UP000203112	0.29062	0.22624
UP000012173	0.49409	0.40407
UP000001469	0.47435	0.36261
UP000014319	0.24791	0.18089
UP000011137	0.25496	0.21704
UP000277198	0.3356	0.28764
UP000289930	0.24599	0.22322
UP000659023	0.15485	0.10661
UP001058961	0.22616	0.16726
UP000007570	0.27872	0.20678
UP000202786	0.17403	0.13099
UP000001309	0.34681	0.21403
UP000662651	0.32867	0.25311
UP000009401	0.21386	0.16578
UP000290575	0.22931	0.23202
UP001164535	0.26039	0.1804
UP000007571	0.29198	0.21546
UP000007572	0.27233	0.16685
UP000007569	0.31051	0.25299
UP000289207	0.20937	0.19426
UP000011138	0.26932	0.19283
UP000827176	0.30983	0.25815
UP000202022	0.30037	0.24134
UP000002272	0.33464	0.2612
UP000202528	0.27574	0.18307
UP000618048	0.34379	0.21095
UP000516087	0.426	0.35027
UP000203828	0.27352	0.21834
UP000203975	0.37462	0.29051
UP000002259	0.2833	0.21008
UP001144681	0.05688	0.04415
UP000006673	0.12785	0.08777
UP000001069	0.04456	0.03752
UP000001155	0.0939	0.0701
UP000262397	0.06127	0.03823
UP000402637	0.06236	0.06109
UP000440284	0.04829	0.07935
UP000516075	0.08875	0.0495
UP000241995	0.34932	0.25275
UP000388066	0.10235	0.06317
UP000002579	0.05884	0.05224
UP001144639	0.0	0.0
UP000001157	0.38196	0.3259
UP000516175	0.36914	0.29096
UP000000506	0.09305	0.13496
UP000502572	0.01891	0.03134
UP000501879	0.0708	0.05642
UP000000259	0.11246	0.08122
UP000503449	0.03195	0.01808
UP001058726	0.26294	0.21292
UP000203343	0.05139	0.01915
UP000277970	0.12283	0.05157
UP000011832	0.07838	0.08022
UP000202383	0.13287	0.1224
UP000203179	0.0625	0.07833
UP000242614	0.09725	0.05378
UP000263690	0.05118	0.03642
UP000002270	0.04541	0.02827
UP000202470	0.03992	0.02681
UP000019001	0.1208	0.13894
UP000203715	0.12112	0.10996
UP000202056	0.07026	0.09077
UP000201664	0.11603	0.1178
UP000224527	0.18754	0.16178
UP000000854	0.0788	0.07391
UP000000735	0.10173	0.08174
UP000224202	0.08682	0.07322
UP000000782	0.1757	0.1003
UP000009164	0.11451	0.0902
UP000000512	0.11487	0.09251
UP000221965	0.13005	0.08705
UP000593848	0.18178	0.11961
UP000002609	0.22258	0.16397
UP000008240	0.2906	0.23614
UP000006814	0.16022	0.08757
UP000001247	0.18622	0.11355
UP000001243	0.04787	0.10882
UP000007522	0.16433	0.13595
UP000501040	0.03252	0.03153
UP000006730	0.0369	0.03656
