From	Entry	Gene Ontology (molecular function)
A0A023PYF4	A0A023PYF4	
A0A023PZB3	A0A023PZB3	
A0A023PZE8	A0A023PZE8	
A0A023PZF2	A0A023PZF2	
A0A023PZG4	A0A023PZG4	
A0A0B7P221	A0A0B7P221	
A0A0B7P3V8	A0A0B7P3V8	aspartic-type endopeptidase activity [GO:0004190]; ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA-directed DNA polymerase activity [GO:0003887]; RNA binding [GO:0003723]; RNA-DNA hybrid ribonuclease activity [GO:0004523]; telomerase activity [GO:0003720]; zinc ion binding [GO:0008270]
A0A7M4B2U1	O13548	
A2P2R3	A2P2R3	glutamine-fructose-6-phosphate transaminase (isomerizing) activity [GO:0004360]
A5Z2X5	A5Z2X5	
D6VPM8	D6VPM8	
D6VTK4	D6VTK4	mating-type alpha-factor pheromone receptor activity [GO:0004934]; mating-type factor pheromone receptor activity [GO:0004932]
D6W196	D6W196	ATP transmembrane transporter activity [GO:0005347]; ATP:ADP antiporter activity [GO:0005471]; calcium ion binding [GO:0005509]
I2HB52	I2HB52	
I2HB70	I2HB70	
O13297	O13297	mRNA 5'-triphosphate monophosphatase activity [GO:0140818]; polynucleotide 5'-phosphatase activity [GO:0004651]
O13329	O13329	rDNA spacer replication fork barrier binding [GO:0043110]; zinc ion binding [GO:0008270]
O13511	O13511	
O13512	O13512	
O13516	O13516	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]
O13525	O13525	
O13527	O13527	DNA binding [GO:0003677]; DNA-directed DNA polymerase activity [GO:0003887]; metal ion binding [GO:0046872]; RNA binding [GO:0003723]; RNA-DNA hybrid ribonuclease activity [GO:0004523]; telomerase activity [GO:0003720]
O13529	O13529	
O13535	O13535	aspartic-type endopeptidase activity [GO:0004190]; ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA-directed DNA polymerase activity [GO:0003887]; RNA binding [GO:0003723]; RNA-DNA hybrid ribonuclease activity [GO:0004523]; telomerase activity [GO:0003720]; zinc ion binding [GO:0008270]
O13536	O13536	
O13539	O13539	nucleic acid binding [GO:0003676]
O13544	O13544	
O13547	O13547	structural constituent of cell wall [GO:0005199]
O13549	O13549	
O13555	O13555	
O13556	O13556	
O13559	O13559	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; DNA helicase activity [GO:0003678]; double-stranded DNA helicase activity [GO:0036121]; forked DNA-dependent helicase activity [GO:0061749]; four-way junction helicase activity [GO:0009378]; nucleic acid binding [GO:0003676]; single-stranded 3'-5' DNA helicase activity [GO:1990518]
O13563	O13563	ubiquitin binding [GO:0043130]
O13565	O13565	
O13574	O13574	
O13577	O13577	ribonucleoside-diphosphate reductase inhibitor activity [GO:1990846]
O13578	O13578	
O13585	O13585	GTPase binding [GO:0051020]
O13587	O13587	
O14455	O14455	RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]
O14464	O14464	structural constituent of ribosome [GO:0003735]; zinc ion binding [GO:0008270]
O14467	O14467	DNA binding [GO:0003677]; ribosome binding [GO:0043022]
O14468	O14468	
O43137	O43137	
O60200	O60200	
O74302	O74302	RNA binding [GO:0003723]
O74700	O74700	metal ion binding [GO:0046872]; protein transporter activity [GO:0140318]; unfolded protein binding [GO:0051082]
O75012	O75012	structural constituent of ribosome [GO:0003735]
O94742	O94742	molecular adaptor activity [GO:0060090]; protein folding chaperone [GO:0044183]
P00044	P00044	cardiolipin binding [GO:1901612]; electron transfer activity [GO:0009055]; heme binding [GO:0020037]; metal ion binding [GO:0046872]
P00045	P00045	electron transfer activity [GO:0009055]; heme binding [GO:0020037]; metal ion binding [GO:0046872]
P00127	P00127	
P00128	P00128	
P00163	P00163	metal ion binding [GO:0046872]; ubiquinol-cytochrome-c reductase activity [GO:0008121]
P00175	P00175	heme binding [GO:0020037]; L-lactate dehydrogenase (cytochrome) activity [GO:0004460]; metal ion binding [GO:0046872]
P00330	P00330	alcohol dehydrogenase (NAD+) activity [GO:0004022]; allyl-alcohol dehydrogenase activity [GO:0047655]; butanol dehydrogenase (NAD+) activity [GO:1990362]; identical protein binding [GO:0042802]; melatonin binding [GO:1904408]; methylglyoxal reductase (NADH) activity [GO:0019170]; octanol dehydrogenase (NAD+) activity [GO:0004552]; zinc ion binding [GO:0008270]
P00331	P00331	alcohol dehydrogenase (NAD+) activity [GO:0004022]; butanol dehydrogenase (NAD+) activity [GO:1990362]; zinc ion binding [GO:0008270]
P00358	P00358	glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity [GO:0004365]; melatonin binding [GO:1904408]; NAD binding [GO:0051287]; NADP binding [GO:0050661]; promoter-specific chromatin binding [GO:1990841]
