YSN	 UniProtID	 Name	 Gene Names
YMR136W	P40209	Protein GAT2	GAT2, YMR136W, YM9375.05
YOR273C	Q12256	Polyamine transporter 4	TPO4, YOR273C, O5440
YKR025W	P36121	DNA-directed RNA polymerase III subunit RPC5 (RNA polymerase III subunit C5) (DNA-directed RNA polymerase III 37 kDa polypeptide) (RNA polymerase III subunit C37)	RPC37, YKR025W
YLR267W	Q06150	Protein BOP2 (Bypass of PAM1 protein 2)	BOP2, YLR267W
YML069W	Q04636	FACT complex subunit POB3 (Facilitates chromatin transcription complex subunit POB3)	POB3, YML069W
YNL100W	P50945	MICOS complex subunit MIC27 (Altered inheritance of mitochondria protein 37) (Mitochondrial contact site complex 27 kDa subunit)	MIC27, AIM37, MCS27, YNL100W, N2190
YKL195W	P36046	Mitochondrial intermembrane space import and assembly protein 40 (Mitochondrial import inner membrane translocase TIM40)	MIA40, TIM40, YKL195W
YOL096C	P27680	Ubiquinone biosynthesis O-methyltransferase, mitochondrial (3,4-dihydroxy-5-hexaprenylbenzoate methyltransferase) (DHHB methyltransferase) (DHHB-MT) (DHHB-MTase) (3-demethylubiquinol 3-O-methyltransferase) (EC 2.1.1.64) (3-demethylubiquinone-6 3-O-methyltransferase) (Hexaprenyldihydroxybenzoate methyltransferase) (Polyprenyldihydroxybenzoate methyltransferase) (EC 2.1.1.114)	COQ3, YOL096C, HRF316
YBR093C	P00635	Repressible acid phosphatase (EC 3.1.3.2) (P60)	PHO5, YBR093C, YBR0814
YDL117W	Q07533	Cytokinesis protein 3	CYK3, YDL117W
YOR182C	P0CX34	Small ribosomal subunit protein eS30B (40S ribosomal protein S30-B)	RPS30B, YOR182C
YLR305C	P37297	Phosphatidylinositol 4-kinase STT4 (PI4-kinase) (PtdIns-4-kinase) (EC 2.7.1.67)	STT4, YLR305C, L2142.4
YNL155W	P53899	CDC48-associated ubiquitin-like/zinc finger protein 1 (CDC48-associated UBL/Zn-finger protein 1)	CUZ1, YNL155W, N1751
YBR071W	P38243	Uncharacterized protein YBR071W	YBR071W, YBR0712
YDL203C	Q07622	Activator of C kinase protein 1	ACK1, YDL203C, D1066
YKR005C	Q02203	Uncharacterized protein YKR005C	YKR005C, YK104
YEL042W	P32621	Guanosine-diphosphatase (GDPase) (EC 3.6.1.42)	GDA1, YEL042W, SYGP-ORF16
YOR034C	Q12013	Probable palmitoyltransferase AKR2 (EC 2.3.1.225) (Ankyrin repeat-containing protein AKR2)	AKR2, YOR034C, OR26.25
YJR103W	P38627	CTP synthase 2 (EC 6.3.4.2) (CTP synthetase 2) (UTP--ammonia ligase 2)	URA8, YJR103W, J1962
YGR128C	P53276	U3 small nucleolar RNA-associated protein 8 (U3 snoRNA-associated protein 8) (U three protein 8) (U3 protein 8 required for transcription) (t-UTP8)	UTP8, YGR128C
YNL175C	P53883	Nucleolar protein 13	NOP13, YNL175C, N1665
YBR230C	P38325	Mitochondrial outer membrane protein OM14 (Outer membrane protein of 14 kDa)	OM14, YBR230C, YBR1527
YOR368W	P48581	DNA damage checkpoint control protein RAD17 (DNA repair exonuclease RAD17)	RAD17, YOR368W
YOL147C	Q12462	Peroxisomal membrane protein PMP27 (Peroxin-11)	PEX11, PMP24, PMP27, YOL147C, O0454
YMR321C	Q04898	Putative uncharacterized protein YMR321C	YMR321C, YM9924.13C
YLR196W	P21304	Periodic tryptophan protein 1	PWP1, YLR196W, L8167.10
YOL070C	Q08229	Protein NBA1 (NAP1 and bud neck-associated protein 1)	NBA1, YOL070C
YBR002C	P35196	Dehydrodolichyl diphosphate synthase complex subunit RER2 (DEDOL-PP synthase) (EC 2.5.1.87) (Ditrans,polycis-polyprenyl diphosphate synthase ((2E,6E)-farnesyl diphosphate specific))	RER2, YBR002C, YBR0107
YMR088C	Q04301	Vacuolar basic amino acid transporter 1	VBA1, YMR088C, YM9582.13C
YMR102C	Q03177	WD repeat-containing protein YMR102C	YMR102C, YM6228.01C, YM6543.09C, YM9718.01C
