1.600000000000000000e+01, 3.319509266199632691e+01
1.700000000000000000e+01, 3.492351529160556822e+01
1.800000000000000000e+01, 3.656958839092393276e+01
1.900000000000000000e+01, 3.823825041232206701e+01
2.000000000000000000e+01, 3.979840794258817027e+01
2.100000000000000000e+01, 4.132995988269814802e+01
2.200000000000000000e+01, 4.279079454743530420e+01
2.300000000000000000e+01, 4.416195625074524145e+01
2.400000000000000000e+01, 4.546646203330584513e+01
2.500000000000000000e+01, 4.661798195034376846e+01
2.600000000000000000e+01, 4.765043530437177566e+01
2.700000000000000000e+01, 4.851380868355331444e+01
2.800000000000000000e+01, 4.916928357012982787e+01
2.900000000000000000e+01, 4.972784778326217747e+01
3.100000000000000000e+01, 5.108752263072771882e+01
3.200000000000000000e+01, 5.166853387657467778e+01
