UniProt, domain_start, domain_end, S_over_T_mean, S_over_T_pval, quantile, refoldable, subcellular_localization, average_KD_hydro, A_SASA_count , C_SASA_count , D_SASA_count , E_SASA_count , F_SASA_count , G_SASA_count , H_SASA_count , I_SASA_count , K_SASA_count , L_SASA_count , M_SASA_count , N_SASA_count , P_SASA_count , Q_SASA_count , R_SASA_count , S_SASA_count , T_SASA_count , V_SASA_count , W_SASA_count , Y_SASA_count
O13297, 247, 546, 0.3893, 6.7e-05, 78, True, nucleus, 2.975, , 6.0, 0, 12.0, 10.0, 3.0, 8.0, 2.0, 7.0, 16.0, 4.0, 0, 12.0, 9.0, 9.0, 6.0, 19.0, 9.0, 3.0, 1.0, 2.0
O13329, 56, 191, 0.2327, 0.006358, 42, nan, nucleus; nucleolus, 2.548, , 1.0, 0, 8.0, 8.0, 1.0, 4.0, 3.0, 1.0, 7.0, 2.0, 1.0, 4.0, 1.0, 4.0, 6.0, 6.0, 5.0, 3.0, 0, 2.0
O13329, 223, 419, 0.2327, 0.006358, 42, nan, nucleus; nucleolus, 2.639, , 7.0, 0, 4.0, 9.0, 0, 11.0, 0, 0, 14.0, 4.0, 0, 6.0, 2.0, 1.0, 12.0, 7.0, 5.0, 2.0, 0, 5.0
O13516, 22, 106, 0.2212, 4e-05, 30, nan, nucleus; nucleolus; cytoplasm, 2.481, , 4.0, 0, 6.0, 6.0, 2.0, 4.0, 0, 0, 10.0, 3.0, 0, 1.0, 1.0, 1.0, 9.0, 3.0, 1.0, 1.0, 0, 2.0
O13516, 110, 165, 0.2212, 4e-05, 30, nan, nucleus; nucleolus; cytoplasm, 3.4, , 0, 0, 2.0, 0, 2.0, 4.0, 3.0, 1.0, 4.0, 2.0, 1.0, 1.0, 3.0, 2.0, 3.0, 2.0, 3.0, 2.0, 0, 1.0
O13535, 179, 305, 0.0945, 0.000818, 6, nan, nucleus; cytoplasm, 2.75, , 1.0, 0, 8.0, 2.0, 1.0, 6.0, 0, 0, 6.0, 0, 1.0, 11.0, 6.0, 6.0, 0, 4.0, 10.0, 4.0, 1.0, 1.0
O13535, 307, 392, 0.0945, 0.000818, 6, nan, nucleus; cytoplasm, 2.891, , 4.0, 0, 2.0, 4.0, 1.0, 5.0, 3.0, 1.0, 3.0, 2.0, 0, 10.0, 1.0, 3.0, 4.0, 2.0, 5.0, 2.0, 0, 1.0
O13535, 496, 608, 0.0945, 0.000818, 6, nan, nucleus; cytoplasm, 2.875, , 6.0, 0, 5.0, 0, 1.0, 4.0, 3.0, 0, 7.0, 0, 0, 7.0, 4.0, 3.0, 3.0, 9.0, 2.0, 3.0, 0, 2.0
O13535, 632, 967, 0.0945, 0.000818, 6, nan, nucleus; cytoplasm, 2.708, , 7.0, 1.0, 10.0, 7.0, 1.0, 13.0, 7.0, 5.0, 15.0, 5.0, 0, 15.0, 6.0, 9.0, 15.0, 19.0, 12.0, 1.0, 0, 3.0
O13535, 1271, 1788, 0.0945, 0.000818, 6, nan, nucleus; cytoplasm, 2.523, , 1.0, 1.0, 23.0, 21.0, 2.0, 23.0, 7.0, 9.0, 29.0, 6.0, 3.0, 16.0, 12.0, 11.0, 10.0, 10.0, 13.0, 0, 0, 9.0
O13539, 10, 161, 0.2831, 0.002215, 54, nan, nucleus, 3.768, , 6.0, 2.0, 10.0, 12.0, 1.0, 3.0, 2.0, 4.0, 9.0, 18.0, 1.0, 5.0, 4.0, 9.0, 8.0, 10.0, 7.0, 8.0, 1.0, 6.0
O13539, 168, 244, 0.2831, 0.002215, 54, nan, nucleus, 3.788, , 5.0, 0, 7.0, 6.0, 2.0, 3.0, 2.0, 6.0, 10.0, 8.0, 5.0, 4.0, 0, 3.0, 3.0, 4.0, 2.0, 1.0, 2.0, 2.0
O13563, 9, 131, 0.2784, 0.00011, 54, True, nucleus; cytoplasm, 2.786, , 1.0, 1.0, 2.0, 14.0, 0, 7.0, 0, 1.0, 8.0, 5.0, 1.0, 8.0, 5.0, 1.0, 5.0, 8.0, 2.0, 2.0, 0, 0
O13565, 9, 186, 1.461, 0.51385, 90, nan, , 4.044, , 5.0, 5.0, 7.0, 8.0, 7.0, 13.0, 4.0, 5.0, 7.0, 13.0, 1.0, 9.0, 9.0, 0, 7.0, 28.0, 6.0, 6.0, 1.0, 2.0
O13577, 12, 113, 0.2871, 0.007233, 54, nan, nucleus; cytoplasm, 3.329, , 4.0, 0, 5.0, 3.0, 2.0, 3.0, 1.0, 4.0, 2.0, 6.0, 2.0, 2.0, 7.0, 21.0, 8.0, 10.0, 7.0, 4.0, 1.0, 2.0
O13585, 23, 183, 0.3256, 0.000333, 66, False, golgi apparatus, 2.176, , 3.0, 1.0, 11.0, 10.0, 2.0, 4.0, 0, 0, 6.0, 2.0, 0, 7.0, 4.0, 5.0, 5.0, 3.0, 2.0, 0, 0, 1.0
O13585, 284, 424, 0.3256, 0.000333, 66, False, golgi apparatus, 4.117, , 4.0, 2.0, 3.0, 3.0, 0, 4.0, 4.0, 8.0, 5.0, 9.0, 0, 4.0, 4.0, 5.0, 2.0, 13.0, 5.0, 2.0, 0, 5.0
O13585, 443, 526, 0.3256, 0.000333, 66, False, golgi apparatus, 2.598, , 2.0, 0, 7.0, 10.0, 2.0, 3.0, 3.0, 1.0, 13.0, 8.0, 1.0, 6.0, 2.0, 9.0, 5.0, 7.0, 1.0, 1.0, 0, 2.0
O13585, 531, 746, 0.3256, 0.000333, 66, False, golgi apparatus, 3.244, , 3.0, 2.0, 11.0, 6.0, 3.0, 2.0, 2.0, 6.0, 14.0, 8.0, 1.0, 13.0, 4.0, 6.0, 3.0, 9.0, 6.0, 3.0, 1.0, 2.0
O14455, 27, 98, 0.2952, 0.000343, 54, nan, cytoplasm, 2.896, , 6.0, 0, 1.0, 4.0, 2.0, 4.0, 0, 1.0, 8.0, 1.0, 0, 3.0, 1.0, 0, 10.0, 4.0, 2.0, 2.0, 0, 1.0
O14464, 58, 92, 0.2157, 3.2e-05, 30, nan, mitochondrion, 2.046, , 0, 0, 1.0, 0, 1.0, 2.0, 0, 0, 7.0, 1.0, 0, 1.0, 0, 1.0, 5.0, 3.0, 1.0, 0, 0, 1.0
O14467, 80, 144, 0.157, 0.000531, 6, False, nucleus; cytoplasm, 2.851, , 2.0, 0, 2.0, 0, 0, 4.0, 0, 2.0, 5.0, 1.0, 0, 5.0, 3.0, 2.0, 4.0, 1.0, 3.0, 1.0, 0, 0
O43137, 26, 82, 0.5815, 0.028194, 90, nan, nucleus; cytoplasm, 2.871, , 1.0, 0, 4.0, 6.0, 0, 5.0, 0, 1.0, 5.0, 1.0, 0, 2.0, 0, 2.0, 0, 2.0, 3.0, 2.0, 0, 1.0
O60200, 12, 77, 0.3886, 0.00585, 78, nan, nucleus; cytoplasm; mitochondrion intermembrane space, 3.509, , 6.0, 1.0, 2.0, 8.0, 2.0, 3.0, 0, 1.0, 5.0, 2.0, 0, 4.0, 1.0, 1.0, 1.0, 3.0, 3.0, 2.0, 1.0, 1.0
O75012, 30, 90, 0.2074, 0.001914, 30, nan, mitochondrion matrix; mitochondrion, 3.692, , 4.0, 1.0, 1.0, 2.0, 0, 4.0, 2.0, 2.0, 4.0, 4.0, 2.0, 6.0, 1.0, 2.0, 3.0, 7.0, 2.0, 2.0, 0, 3.0
