UniProt, domain_start, domain_end, S_over_T_mean, S_over_T_pval, quantile, refoldable, subcellular_localization, average_KD_hydro, A_SASA , C_SASA , D_SASA , E_SASA , F_SASA , G_SASA , H_SASA , I_SASA , K_SASA , L_SASA , M_SASA , N_SASA , P_SASA , Q_SASA , R_SASA , S_SASA , T_SASA , V_SASA , W_SASA , Y_SASA
O13297, 243, 541, 0.3893, 6.7e-05, 78, True, nucleus, 3.136, , 216.44, 0, 1224.02, 989.17, 507.55, 313.36, 224.07, 850.04, 2100.47, 476.41, 0, 1237.3, 858.91, 842.84, 1055.69, 1158.96, 923.22, 290.73, 359.28, 168.02
O13329, 48, 414, 0.2327, 0.006358, 42, nan, nucleus; nucleolus, 2.524, , 392.36, 71.52, 1157.49, 1807.63, 237.45, 642.62, 177.01, 94.01, 4003.46, 666.16, 217.72, 862.47, 449.36, 435.61, 2698.78, 805.89, 843.44, 293.24, 0, 707.16
O13516, 23, 174, 0.2212, 4e-05, 30, nan, nucleus; nucleolus; cytoplasm, 2.659, , 298.84, 0, 775.09, 509.94, 401.17, 312.74, 289.14, 91.7, 1989.81, 442.69, 0, 173.51, 328.21, 305.92, 1925.39, 242.95, 289.18, 174.56, 0, 319.45
O13535, 184, 388, 0.0945, 0.000818, 6, nan, nucleus; cytoplasm, 2.952, , 263.56, 0, 661.86, 591.93, 227.43, 438.89, 411.63, 70.25, 1078.74, 237.39, 118.62, 1956.14, 421.06, 1226.73, 384.83, 370.25, 1132.65, 665.21, 0, 310.61
O13535, 490, 958, 0.0945, 0.000818, 6, nan, nucleus; cytoplasm, 2.9, , 830.79, 46.94, 1233.58, 950.16, 270.96, 621.48, 1162.38, 930.7, 3344.99, 439.38, 0, 2639.3, 1045.34, 1187.33, 2455.81, 2109.03, 1481.8, 559.88, 0, 570.38
O13535, 1252, 1788, 0.0945, 0.000818, 6, nan, nucleus; cytoplasm, 2.548, , 121.97, 60.78, 1949.44, 2033.05, 139.9, 673.77, 697.59, 997.89, 4403.69, 557.82, 237.51, 1496.07, 1201.04, 1164.67, 1837.41, 707.33, 1120.01, 78.53, 0, 1115.23
O13539, 9, 117, 0.2831, 0.002215, 54, nan, nucleus, 3.495, , 282.17, 58.54, 706.05, 936.19, 300.82, 127.04, 225.91, 337.92, 690.83, 1148.39, 0, 308.86, 298.48, 639.82, 1223.49, 333.46, 481.35, 131.8, 0, 600.5
O13539, 153, 180, 0.2831, 0.002215, 54, nan, nucleus, 3.429, , 99.24, 111.21, 456.42, 115.69, 0, 77.3, 0, 246.47, 127.75, 220.78, 0, 85.06, 128.39, 471.78, 198.65, 0, 0, 0, 0, 262.45
O13563, 8, 128, 0.2784, 0.00011, 54, True, nucleus; cytoplasm, 2.909, , 82.61, 46.58, 259.53, 1555.7, 0, 316.25, 0, 159.96, 1342.99, 489.7, 117.77, 653.86, 461.28, 95.38, 715.79, 581.98, 180.25, 212.45, 0, 0
O13565, 89, 183, 1.461, 0.51385, 90, nan, , 4.149, , 152.56, 384.04, 414.88, 542.31, 597.23, 219.58, 477.56, 517.88, 626.95, 542.48, 0, 484.33, 401.8, 0, 945.7, 784.98, 192.4, 331.7, 125.0, 0
O13585, 27, 183, 0.3256, 0.000333, 66, False, golgi apparatus, 2.266, , 159.07, 107.3, 1095.68, 1161.39, 228.73, 131.85, 0, 0, 799.89, 272.1, 0, 638.03, 363.95, 427.67, 757.57, 262.32, 177.03, 0, 0, 202.59
O13585, 266, 463, 0.3256, 0.000333, 66, False, golgi apparatus, 3.668, , 381.75, 130.87, 861.08, 636.93, 477.3, 126.87, 374.87, 644.53, 2233.19, 1383.74, 0, 375.21, 426.21, 974.93, 671.38, 796.19, 616.9, 342.94, 217.12, 598.61
