UniProt, domain_start, domain_end, S_over_T_mean, S_over_T_pval, quantile, refoldable, subcellular_localization, average_KD_hydro, A_SASA , C_SASA , D_SASA , E_SASA , F_SASA , G_SASA , H_SASA , I_SASA , K_SASA , L_SASA , M_SASA , N_SASA , P_SASA , Q_SASA , R_SASA , S_SASA , T_SASA , V_SASA , W_SASA , Y_SASA
O13297, 247, 546, 0.3893, 6.7e-05, 78, True, nucleus, 2.975, , 359.73, 0, 1224.02, 1074.3, 414.12, 356.4, 224.07, 669.95, 2438.57, 476.41, 0, 1237.3, 793.3, 929.71, 1055.69, 1291.33, 923.22, 209.1, 139.43, 267.73
O13329, 56, 191, 0.2327, 0.006358, 42, nan, nucleus; nucleolus, 2.548, , 49.53, 0, 816.15, 1021.27, 98.16, 115.68, 259.35, 113.91, 987.42, 185.34, 110.94, 379.91, 60.52, 463.38, 1005.67, 440.85, 403.08, 232.8, 0, 247.93
O13329, 223, 419, 0.2327, 0.006358, 42, nan, nucleus; nucleolus, 2.639, , 464.12, 0, 330.98, 920.25, 0, 448.74, 0, 0, 1944.96, 416.08, 0, 552.26, 186.37, 101.56, 1834.95, 459.33, 373.89, 184.51, 0, 599.75
O13516, 22, 106, 0.2212, 4e-05, 30, nan, nucleus; nucleolus; cytoplasm, 2.481, , 207.63, 0, 583.51, 666.46, 279.51, 165.25, 0, 0, 1300.71, 308.82, 0, 98.32, 99.06, 83.37, 1421.69, 164.18, 117.86, 73.05, 0, 214.43
O13516, 110, 165, 0.2212, 4e-05, 30, nan, nucleus; nucleolus; cytoplasm, 3.4, , 0, 0, 206.88, 0, 215.21, 237.22, 319.73, 94.61, 736.01, 226.15, 159.95, 75.18, 264.0, 224.67, 469.04, 131.92, 295.65, 144.29, 0, 95.96
O13535, 179, 305, 0.0945, 0.000818, 6, nan, nucleus; cytoplasm, 2.75, , 81.42, 0, 803.6, 245.85, 133.76, 287.85, 0, 0, 728.43, 0, 87.0, 1243.11, 440.5, 730.69, 0, 274.35, 771.64, 430.8, 120.24, 155.25
O13535, 307, 392, 0.0945, 0.000818, 6, nan, nucleus; cytoplasm, 2.891, , 223.21, 0, 165.04, 457.55, 93.67, 193.32, 411.63, 95.46, 301.8, 237.39, 0, 1058.74, 62.39, 339.91, 700.8, 187.81, 366.16, 204.02, 0, 155.36
O13535, 496, 608, 0.0945, 0.000818, 6, nan, nucleus; cytoplasm, 2.875, , 451.9, 0, 479.34, 0, 102.9, 162.97, 333.27, 0, 920.88, 0, 0, 698.5, 315.48, 340.2, 361.97, 678.74, 192.65, 240.17, 0, 279.28
O13535, 632, 967, 0.0945, 0.000818, 6, nan, nucleus; cytoplasm, 2.708, , 452.0, 46.94, 913.71, 809.57, 118.25, 421.54, 892.52, 684.3, 2474.4, 439.38, 0, 1665.57, 459.02, 1252.2, 2211.05, 1335.53, 928.09, 97.29, 0, 462.17
O13535, 1271, 1788, 0.0945, 0.000818, 6, nan, nucleus; cytoplasm, 2.523, , 42.72, 60.78, 2027.5, 2186.12, 246.57, 673.77, 748.54, 812.16, 3939.07, 530.75, 315.94, 1528.85, 1093.46, 1191.0, 1686.29, 630.33, 1013.82, 0, 0, 1115.23
O13539, 10, 161, 0.2831, 0.002215, 54, nan, nucleus, 3.768, , 443.92, 209.21, 980.79, 1374.01, 116.36, 153.66, 225.91, 361.27, 1242.1, 1713.06, 174.81, 405.89, 427.61, 969.33, 1345.65, 646.2, 605.22, 673.76, 141.43, 919.86
O13539, 168, 244, 0.2831, 0.002215, 54, nan, nucleus, 3.788, , 320.09, 0, 609.12, 626.84, 270.08, 134.1, 239.93, 565.11, 1208.85, 829.99, 529.52, 394.49, 0, 331.86, 504.15, 243.65, 130.65, 99.61, 329.6, 284.25
O13563, 9, 131, 0.2784, 0.00011, 54, True, nucleus; cytoplasm, 2.786, , 82.61, 46.58, 259.53, 1669.59, 0, 283.0, 0, 78.79, 1181.2, 489.7, 117.77, 897.63, 404.96, 95.38, 715.79, 704.25, 180.25, 212.45, 0, 0
O13565, 9, 186, 1.461, 0.51385, 90, nan, , 4.044, , 297.02, 508.22, 961.33, 1198.14, 1047.28, 639.22, 603.52, 579.99, 1040.62, 1671.06, 159.81, 1090.14, 894.2, 0, 1283.38, 2428.57, 626.96, 546.84, 114.61, 366.34
O13577, 12, 113, 0.2871, 0.007233, 54, nan, nucleus; cytoplasm, 3.329, , 330.25, 0, 480.47, 425.92, 225.23, 61.12, 100.72, 440.75, 329.05, 712.09, 279.56, 271.17, 777.42, 2533.87, 1204.52, 713.98, 750.88, 337.48, 227.49, 267.18
O13585, 23, 183, 0.3256, 0.000333, 66, False, golgi apparatus, 2.176, , 195.14, 107.3, 1095.68, 1315.44, 228.73, 131.85, 0, 0, 799.89, 168.21, 0, 638.03, 363.95, 583.44, 757.57, 202.98, 177.03, 0, 0, 202.59
O13585, 284, 424, 0.3256, 0.000333, 66, False, golgi apparatus, 4.117, , 340.78, 130.87, 275.78, 263.53, 0, 126.87, 467.13, 647.15, 696.89, 959.54, 0, 295.86, 366.6, 642.71, 290.89, 758.4, 457.07, 264.47, 0, 674.8
