Q96R72	gene_name:OR4K3
Q9UKL2	gene_name:OR52A1
Q9H205	gene_name:OR2AG1
Q8NGN2	gene_name:OR10S1
Q8NGC1	gene_name:OR11G2
O60502	gene_name:OGA
Q8NGX2	gene_name:OR2T35
A6NGY5	gene_name:OR51F1
Q8NGE3	gene_name:OR10P1
Q6IF63	gene_name:OR52W1
Q9BXB4	gene_name:OSBPL11
Q9UJX0	gene_name:OSGIN1
Q6A1A2	gene_name:PDPK2P
Q96S52	gene_name:PIGS
P13686	gene_name:ACP5
P17980	gene_name:PSMC3
Q5THK1	gene_name:PRR14L
P0CG20	gene_name:PRR35
Q9ULL5	gene_name:PRR12
Q6NWY9	gene_name:PRPF40B
Q5TYX0	gene_name:PRAMEF5
Q5VTA0	gene_name:PRAMEF17
Q00LT1	gene_name:PRCD
Q9UMR5	gene_name:PPT2
P0DJ07	gene_name:PET100
Q8WV60	gene_name:PTCD2
Q96EY7	gene_name:PTCD3
Q7RTS3	gene_name:PTF1A
P20962	gene_name:PTMS
Q92530	gene_name:PSMF1
O14957	gene_name:UQCR11
Q6ZRP7	gene_name:QSOX2
Q8TBF2	gene_name:PRXL2B
Q86YV0	gene_name:RASAL3
Q8NFJ5	gene_name:GPRC5A
Q14206	gene_name:RCAN2
Q9Y2P8	gene_name:RCL1
A4D1S5	gene_name:RAB19
P61106	gene_name:RAB14
O95716	gene_name:RAB3D
Q8N4Z0	gene_name:RAB42
P49795	gene_name:RGS19
Q7L0Q8	gene_name:RHOU
Q9BQ08	gene_name:RETNLB
Q9HB40	gene_name:SCPEP1
Q8NHV9	gene_name:RHOXF1
P07949	gene_name:RET
Q8TAC1	gene_name:RFESD
Q9UJD0	gene_name:RIMS3
P50914	gene_name:RPL14
Q969Q0	gene_name:RPL36AL
Q9NSD7	gene_name:RXFP3
Q9HCK4	gene_name:ROBO2
Q9H1D9	gene_name:POLR3F
P35372	gene_name:OPRM1
O14581	gene_name:OR7A17
Q99489	gene_name:DDO
Q8NGM8	gene_name:OR6M1
Q9GZK6	gene_name:OR2J1
Q149M9	gene_name:NWD1
Q8NGE7	gene_name:OR9K2
Q6N063	gene_name:OGFOD2
O95158	gene_name:NXPH4
A6NMZ5	gene_name:OR4C45
Q8NGL6	gene_name:OR4A15
Q8NGC8	gene_name:OR11H7
Q06190	gene_name:PPP2R3A
A6NJZ3	gene_name:OR6C65
Q3SX64	gene_name:ODF3L2
P00480	gene_name:OTC
Q9NVV4	gene_name:MTPAP
Q9NPH6	gene_name:OBP2B
Q8NDF8	gene_name:TENT4B
P0DN37	gene_name:PPIAL4G
O15381	gene_name:NVL
A8MZH6	gene_name:OOSP1
Q8NGH7	gene_name:OR52L1
O95340	gene_name:PAPSS2
Q6ZVX9	gene_name:PAQR9
P57723	gene_name:PCBP4
Q8TEZ7	gene_name:PAQR8
Q460N5	gene_name:PARP14
Q96QU1	gene_name:PCDH15
Q6P474	gene_name:PDXDC2P
P13667	gene_name:PDIA4
P09466	gene_name:PAEP
Q13087	gene_name:PDIA2
Q15084	gene_name:PDIA6
Q53GL7	gene_name:PARP10
Q5MIZ7	gene_name:PPP4R3B
A4QPH2	gene_name:PI4KAP2
Q92561	gene_name:PHYHIP
Q8IYJ0	gene_name:PIANP
Q8WWW0	gene_name:RASSF5
Q06609	gene_name:RAD51
O75452	gene_name:RDH16
Q9UBK7	gene_name:RABL2A
Q9UKM9	gene_name:RALY
A0AV96	gene_name:RBM47
P46060	gene_name:RANGAP1
Q96IS3	gene_name:RAX2
